Cumulative_Doses,Influenza_Season,Setting,Week_ID,Current_Season_Week_Ending_Label,MMWR_Week_Order,MMWR_Year,MMWR_Week,MMWR_Day,Dose,Current_Through,Location_and_Flu_Season_Order,Age_Group
9492,2019-2020,Physician Medical Office,08/10/2019 12:00:00 AM,08/10/2024 12:00:00 AM,6,2019,32,7,7551,01/25/2025 12:00:00 AM,34,18+
2553,2019-2020,Physician Medical Office,08/10/2019 12:00:00 AM,08/10/2024 12:00:00 AM,6,2019,32,7,1638,01/25/2025 12:00:00 AM,34,18-49
2153,2019-2020,Physician Medical Office,08/10/2019 12:00:00 AM,08/10/2024 12:00:00 AM,6,2019,32,7,1672,01/25/2025 12:00:00 AM,34,50-64
4788,2019-2020,Physician Medical Office,08/10/2019 12:00:00 AM,08/10/2024 12:00:00 AM,6,2019,32,7,4241,01/25/2025 12:00:00 AM,34,65+
4705,2019-2020,Physician Medical Office,08/10/2019 12:00:00 AM,08/10/2024 12:00:00 AM,6,2019,32,7,3310,01/25/2025 12:00:00 AM,34,18-64
14651,2019-2020,Physician Medical Office,08/17/2019 12:00:00 AM,08/17/2024 12:00:00 AM,7,2019,33,7,9946,01/25/2025 12:00:00 AM,34,18-64
31283,2019-2020,Physician Medical Office,08/17/2019 12:00:00 AM,08/17/2024 12:00:00 AM,7,2019,33,7,21791,01/25/2025 12:00:00 AM,34,18+
7562,2019-2020,Physician Medical Office,08/17/2019 12:00:00 AM,08/17/2024 12:00:00 AM,7,2019,33,7,5009,01/25/2025 12:00:00 AM,34,18-49
16634,2019-2020,Physician Medical Office,08/17/2019 12:00:00 AM,08/17/2024 12:00:00 AM,7,2019,33,7,11846,01/25/2025 12:00:00 AM,34,65+
7089,2019-2020,Physician Medical Office,08/17/2019 12:00:00 AM,08/17/2024 12:00:00 AM,7,2019,33,7,4936,01/25/2025 12:00:00 AM,34,50-64
111197,2019-2020,Physician Medical Office,08/24/2019 12:00:00 AM,08/24/2024 12:00:00 AM,8,2019,34,7,79914,01/25/2025 12:00:00 AM,34,18+
57399,2019-2020,Physician Medical Office,08/24/2019 12:00:00 AM,08/24/2024 12:00:00 AM,8,2019,34,7,42748,01/25/2025 12:00:00 AM,34,18-64
25463,2019-2020,Physician Medical Office,08/24/2019 12:00:00 AM,08/24/2024 12:00:00 AM,8,2019,34,7,18374,01/25/2025 12:00:00 AM,34,50-64
53800,2019-2020,Physician Medical Office,08/24/2019 12:00:00 AM,08/24/2024 12:00:00 AM,8,2019,34,7,37166,01/25/2025 12:00:00 AM,34,65+
31937,2019-2020,Physician Medical Office,08/24/2019 12:00:00 AM,08/24/2024 12:00:00 AM,8,2019,34,7,24375,01/25/2025 12:00:00 AM,34,18-49
101112,2019-2020,Physician Medical Office,08/31/2019 12:00:00 AM,08/31/2024 12:00:00 AM,9,2019,35,7,69175,01/25/2025 12:00:00 AM,34,18-49
181213,2019-2020,Physician Medical Office,08/31/2019 12:00:00 AM,08/31/2024 12:00:00 AM,9,2019,35,7,123814,01/25/2025 12:00:00 AM,34,18-64
169156,2019-2020,Physician Medical Office,08/31/2019 12:00:00 AM,08/31/2024 12:00:00 AM,9,2019,35,7,115356,01/25/2025 12:00:00 AM,34,65+
350367,2019-2020,Physician Medical Office,08/31/2019 12:00:00 AM,08/31/2024 12:00:00 AM,9,2019,35,7,239170,01/25/2025 12:00:00 AM,34,18+
80102,2019-2020,Physician Medical Office,08/31/2019 12:00:00 AM,08/31/2024 12:00:00 AM,9,2019,35,7,54639,01/25/2025 12:00:00 AM,34,50-64
264657,2019-2020,Physician Medical Office,09/07/2019 12:00:00 AM,09/07/2024 12:00:00 AM,10,2019,36,7,163545,01/25/2025 12:00:00 AM,34,18-49
907621,2019-2020,Physician Medical Office,09/07/2019 12:00:00 AM,09/07/2024 12:00:00 AM,10,2019,36,7,557254,01/25/2025 12:00:00 AM,34,18+
427914,2019-2020,Physician Medical Office,09/07/2019 12:00:00 AM,09/07/2024 12:00:00 AM,10,2019,36,7,258758,01/25/2025 12:00:00 AM,34,65+
215053,2019-2020,Physician Medical Office,09/07/2019 12:00:00 AM,09/07/2024 12:00:00 AM,10,2019,36,7,134951,01/25/2025 12:00:00 AM,34,50-64
479709,2019-2020,Physician Medical Office,09/07/2019 12:00:00 AM,09/07/2024 12:00:00 AM,10,2019,36,7,298496,01/25/2025 12:00:00 AM,34,18-64
2243781,2019-2020,Physician Medical Office,09/14/2019 12:00:00 AM,09/14/2024 12:00:00 AM,11,2019,37,7,1336160,01/25/2025 12:00:00 AM,34,18+
1056949,2019-2020,Physician Medical Office,09/14/2019 12:00:00 AM,09/14/2024 12:00:00 AM,11,2019,37,7,629035,01/25/2025 12:00:00 AM,34,65+
640060,2019-2020,Physician Medical Office,09/14/2019 12:00:00 AM,09/14/2024 12:00:00 AM,11,2019,37,7,375403,01/25/2025 12:00:00 AM,34,18-49
546775,2019-2020,Physician Medical Office,09/14/2019 12:00:00 AM,09/14/2024 12:00:00 AM,11,2019,37,7,331722,01/25/2025 12:00:00 AM,34,50-64
1186834,2019-2020,Physician Medical Office,09/14/2019 12:00:00 AM,09/14/2024 12:00:00 AM,11,2019,37,7,707125,01/25/2025 12:00:00 AM,34,18-64
1054906,2019-2020,Physician Medical Office,09/21/2019 12:00:00 AM,09/21/2024 12:00:00 AM,12,2019,38,7,508131,01/25/2025 12:00:00 AM,34,50-64
2106132,2019-2020,Physician Medical Office,09/21/2019 12:00:00 AM,09/21/2024 12:00:00 AM,12,2019,38,7,1049183,01/25/2025 12:00:00 AM,34,65+
1210297,2019-2020,Physician Medical Office,09/21/2019 12:00:00 AM,09/21/2024 12:00:00 AM,12,2019,38,7,570237,01/25/2025 12:00:00 AM,34,18-49
4371333,2019-2020,Physician Medical Office,09/21/2019 12:00:00 AM,09/21/2024 12:00:00 AM,12,2019,38,7,2127552,01/25/2025 12:00:00 AM,34,18+
2265202,2019-2020,Physician Medical Office,09/21/2019 12:00:00 AM,09/21/2024 12:00:00 AM,12,2019,38,7,1078368,01/25/2025 12:00:00 AM,34,18-64
3699528,2019-2020,Physician Medical Office,09/28/2019 12:00:00 AM,09/28/2024 12:00:00 AM,13,2019,39,7,1434326,01/25/2025 12:00:00 AM,34,18-64
7266306,2019-2020,Physician Medical Office,09/28/2019 12:00:00 AM,09/28/2024 12:00:00 AM,13,2019,39,7,2894973,01/25/2025 12:00:00 AM,34,18+
3566779,2019-2020,Physician Medical Office,09/28/2019 12:00:00 AM,09/28/2024 12:00:00 AM,13,2019,39,7,1460647,01/25/2025 12:00:00 AM,34,65+
1735417,2019-2020,Physician Medical Office,09/28/2019 12:00:00 AM,09/28/2024 12:00:00 AM,13,2019,39,7,680511,01/25/2025 12:00:00 AM,34,50-64
1964112,2019-2020,Physician Medical Office,09/28/2019 12:00:00 AM,09/28/2024 12:00:00 AM,13,2019,39,7,753815,01/25/2025 12:00:00 AM,34,18-49
2518685,2019-2020,Physician Medical Office,10/05/2019 12:00:00 AM,10/05/2024 12:00:00 AM,14,2019,40,7,783268,01/25/2025 12:00:00 AM,34,50-64
2840341,2019-2020,Physician Medical Office,10/05/2019 12:00:00 AM,10/05/2024 12:00:00 AM,14,2019,40,7,876229,01/25/2025 12:00:00 AM,34,18-49
10601650,2019-2020,Physician Medical Office,10/05/2019 12:00:00 AM,10/05/2024 12:00:00 AM,14,2019,40,7,3335344,01/25/2025 12:00:00 AM,34,18+
5242626,2019-2020,Physician Medical Office,10/05/2019 12:00:00 AM,10/05/2024 12:00:00 AM,14,2019,40,7,1675847,01/25/2025 12:00:00 AM,34,65+
5359025,2019-2020,Physician Medical Office,10/05/2019 12:00:00 AM,10/05/2024 12:00:00 AM,14,2019,40,7,1659497,01/25/2025 12:00:00 AM,34,18-64
6943514,2019-2020,Physician Medical Office,10/12/2019 12:00:00 AM,10/12/2024 12:00:00 AM,15,2019,41,7,1700888,01/25/2025 12:00:00 AM,34,65+
14093658,2019-2020,Physician Medical Office,10/12/2019 12:00:00 AM,10/12/2024 12:00:00 AM,15,2019,41,7,3492008,01/25/2025 12:00:00 AM,34,18+
3790402,2019-2020,Physician Medical Office,10/12/2019 12:00:00 AM,10/12/2024 12:00:00 AM,15,2019,41,7,950061,01/25/2025 12:00:00 AM,34,18-49
7150145,2019-2020,Physician Medical Office,10/12/2019 12:00:00 AM,10/12/2024 12:00:00 AM,15,2019,41,7,1791120,01/25/2025 12:00:00 AM,34,18-64
3359744,2019-2020,Physician Medical Office,10/12/2019 12:00:00 AM,10/12/2024 12:00:00 AM,15,2019,41,7,841059,01/25/2025 12:00:00 AM,34,50-64
4725835,2019-2020,Physician Medical Office,10/19/2019 12:00:00 AM,10/19/2024 12:00:00 AM,16,2019,42,7,935433,01/25/2025 12:00:00 AM,34,18-49
17462817,2019-2020,Physician Medical Office,10/19/2019 12:00:00 AM,10/19/2024 12:00:00 AM,16,2019,42,7,3369159,01/25/2025 12:00:00 AM,34,18+
8899109,2019-2020,Physician Medical Office,10/19/2019 12:00:00 AM,10/19/2024 12:00:00 AM,16,2019,42,7,1748964,01/25/2025 12:00:00 AM,34,18-64
8563710,2019-2020,Physician Medical Office,10/19/2019 12:00:00 AM,10/19/2024 12:00:00 AM,16,2019,42,7,1620196,01/25/2025 12:00:00 AM,34,65+
4173275,2019-2020,Physician Medical Office,10/19/2019 12:00:00 AM,10/19/2024 12:00:00 AM,16,2019,42,7,813531,01/25/2025 12:00:00 AM,34,50-64
