Current Season,Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend
2022-23,AUG,11419,1991746,California,0.0057,9-12 years,"2022-23, California: 9-12 years"
2022-23,JAN,82493,1286583,Puerto Rico,0.0641,18-49 years,"2022-23, Puerto Rico: 18-49 years"
2022-23,JAN,2115613,8567802,California,0.2469,6 months to 17 years,"2022-23, California: 6 months to 17 years"
2022-23,MAR,1289890,5774978,Arizona,0.2234,18+ years,"2022-23, Arizona: 18+ years"
2023-24,JUN,108392,378031,Maryland,0.2867,13-17 years,"2023-24, Maryland: 13-17 years"
2023-24,JUN,,,Houston,,6 months to 17 years,"2023-24, Houston: 6 months to 17 years"
2023-24,OCT,213373,2857609,Tennessee,0.0747,18-49 years,"2023-24, Tennessee: 18-49 years"
2023-24,SEP,213195,1814542,North Carolina,0.1175,65+ years,"2023-24, North Carolina: 65+ years"
2024-25,NOV,721142,3226163.5,Utah,0.2235,Overall,"2024-25, Utah: Overall"
2024-25,OCT,256,1258.5,American Samoa,0.2033,6-23 months,"2024-25, American Samoa: 6-23 months"
2022-23,DEC,86109,369112,North Carolina,0.2333,2-4 years,"2022-23, North Carolina: 2-4 years"
2022-23,MAR,,,Rhode Island,,5-8 years,"2022-23, Rhode Island: 5-8 years"
2022-23,MAY,163073,564552,Arkansas,0.2889,50-64 years,"2022-23, Arkansas: 50-64 years"
2022-23,NOV,6615,65539,Montana,0.1009,13-17 years,"2022-23, Montana: 13-17 years"
2023-24,AUG,3900,197594,Delaware,0.0197,65+ years,"2023-24, Delaware: 65+ years"
2023-24,DEC,192431,850894,Montana,0.2262,18+ years,"2023-24, Montana: 18+ years"
2023-24,FEB,,,Houston,,6 months to 17 years,"2023-24, Houston: 6 months to 17 years"
2023-24,MAY,4097,31095,Wyoming,0.1318,9-12 years,"2023-24, Wyoming: 9-12 years"
2023-24,OCT,7472,187055,Puerto Rico,0.0399,13-17 years,"2023-24, Puerto Rico: 13-17 years"
2022-23,JUN,710557,3752487,New York City,0.1894,18-49 years,"2022-23, New York City: 18-49 years"
2023-24,APR,,,New Hampshire,,Overall,"2023-24, New Hampshire: Overall"
2023-24,DEC,92457,460572,Washington,0.2007,13-17 years,"2023-24, Washington: 13-17 years"
2023-24,JUN,682905,1640786,New York City,0.4162,6 months to 17 years,"2023-24, New York City: 6 months to 17 years"
2023-24,SEP,308257,5188514,Indiana,0.0594,18+ years,"2023-24, Indiana: 18+ years"
2024-25,DEC,22685,123698.5,Arizona,0.1834,6-23 months,"2024-25, Arizona: 6-23 months"
2024-25,JAN,,,West Virginia,,18+ years,"2024-25, West Virginia: 18+ years"
2024-25,NOV,13530,99629,Idaho,0.1358,5-8 years,"2024-25, Idaho: 5-8 years"
2024-25,NOV,,,Massachusetts,,6 months to 17 years,"2024-25, Massachusetts: 6 months to 17 years"
2022-23,MAR,101181,624694,Michigan,0.162,13-17 years,"2022-23, Michigan: 13-17 years"
2022-23,MAR,,,Hawaii,,6-23 months,"2022-23, Hawaii: 6-23 months"
2022-23,MAY,117078,417969,Ohio,0.2801,2-4 years,"2022-23, Ohio: 2-4 years"
2022-23,MAY,,,Virginia,,6-23 months,"2022-23, Virginia: 6-23 months"
2023-24,AUG,149,54115,Nevada,0.0028,6-23 months,"2023-24, Nevada: 6-23 months"
2022-23,DEC,93376,377798,Washington,0.2472,9-12 years,"2022-23, Washington: 9-12 years"
2022-23,FEB,7766,26925,District of Columbia,0.2884,13-17 years,"2022-23, District of Columbia: 13-17 years"
2022-23,JAN,,,Hawaii,,6-23 months,"2022-23, Hawaii: 6-23 months"
2022-23,JAN,9350,52303,Montana,0.1788,9-12 years,"2022-23, Montana: 9-12 years"
2022-23,MAR,21921,133291,Idaho,0.1645,13-17 years,"2022-23, Idaho: 13-17 years"
2022-23,MAR,64681,307961,Missouri,0.21,9-12 years,"2022-23, Missouri: 9-12 years"
2023-24,AUG,5535,1428520,West Virginia,0.0039,18+ years,"2023-24, West Virginia: 18+ years"
2023-24,JUL,491,6846888.5,Tennessee,0.0001,Overall,"2023-24, Tennessee: Overall"
2022-23,MAY,103430,369112,North Carolina,0.2802,2-4 years,"2022-23, North Carolina: 2-4 years"
2022-23,MAY,1467412,5188514,Indiana,0.2828,18+ years,"2022-23, Indiana: 18+ years"
2022-23,NOV,2533,20301,N. Mariana Islands,0.1248,18-49 years,"2022-23, N. Mariana Islands: 18-49 years"
2023-24,AUG,49,47492,Alaska,0.001,13-17 years,"2023-24, Alaska: 13-17 years"
2023-24,AUG,,,Chicago,,50-64 years,"2023-24, Chicago: 50-64 years"
2023-24,AUG,,,Houston,,6-23 months,"2023-24, Houston: 6-23 months"
2022-23,DEC,1077487,3380729,Oregon,0.3187,18+ years,"2022-23, Oregon: 18+ years"
2022-23,JAN,468938,1184308,Wisconsin,0.396,50-64 years,"2022-23, Wisconsin: 50-64 years"
2022-23,OCT,23826,89833,District of Columbia,0.2652,65+ years,"2022-23, District of Columbia: 65+ years"
2022-23,SEP,4335,224000.5,Montana,0.0194,6 months to 17 years,"2022-23, Montana: 6 months to 17 years"
2023-24,AUG,,,New Hampshire,,65+ years,"2023-24, New Hampshire: 65+ years"
2023-24,AUG,23,6780,Marshall Islands,0.0034,9-12 years,"2023-24, Marshall Islands: 9-12 years"
2024-25,SEP,81144,2072888.5,Michigan,0.0391,6 months to 17 years,"2024-25, Michigan: 6 months to 17 years"
2023-24,JUN,,,Rhode Island,,18+ years,"2023-24, Rhode Island: 18+ years"
2023-24,MAY,60013,342016,Michigan,0.1755,2-4 years,"2023-24, Michigan: 2-4 years"
2023-24,SEP,68325,1278598,Indiana,0.0534,50-64 years,"2023-24, Indiana: 50-64 years"
2023-24,SEP,65141,1268024,Minnesota,0.0514,6 months to 17 years,"2023-24, Minnesota: 6 months to 17 years"
2024-25,AUG,660,171599,Pennsylvania,0.0038,6-23 months,"2024-25, Pennsylvania (excluding Philadelphia County): 6-23 months"
2024-25,SEP,,,Rhode Island,,50-64 years,"2024-25, Rhode Island: 50-64 years"
2022-23,FEB,51196,198245,Oregon,0.2582,9-12 years,"2022-23, Oregon: 9-12 years"
2023-24,JUL,,,South Carolina,,5-8 years,"2023-24, South Carolina: 5-8 years"
2023-24,JUN,194533,873539,Louisiana,0.2227,50-64 years,"2023-24, Louisiana: 50-64 years"
2023-24,SEP,193864,2440679,Nevada,0.0794,18+ years,"2023-24, Nevada: 18+ years"
2024-25,JAN,,,Arizona,,50-64 years,"2024-25, Arizona: 50-64 years"
2024-25,JAN,,,Houston,,50-64 years,"2024-25, Houston: 50-64 years"
2024-25,NOV,95758,929182.5,Oklahoma,0.1031,6 months to 17 years,"2024-25, Oklahoma: 6 months to 17 years"
2022-23,DEC,844,2608,American Samoa,0.3236,2-4 years,"2022-23, American Samoa: 2-4 years"
2022-23,DEC,562,5706,Federated States of Micronesia,0.0985,2-4 years,"2022-23, Federated States of Micronesia: 2-4 years"
2022-23,DEC,4,4073,U.S. Virgin Islands ,0.001,2-4 years,"2022-23, U.S. Virgin Islands : 2-4 years"
2022-23,DEC,16569,86184,Louisiana,0.1923,6-23 months,"2022-23, Louisiana: 6-23 months"
2022-23,FEB,2292,12020,N. Mariana Islands,0.1907,50-64 years,"2022-23, N. Mariana Islands: 50-64 years"
2022-23,JAN,,,Chicago,,5-8 years,"2022-23, Chicago: 5-8 years"
2023-24,NOV,,,Hawaii,,Overall,"2023-24, Hawaii: Overall"
2023-24,SEP,41148,1335604.5,Missouri,0.0308,6 months to 17 years,"2023-24, Missouri: 6 months to 17 years"
2024-25,NOV,59231,275092,Wisconsin,0.2153,5-8 years,"2024-25, Wisconsin: 5-8 years"
2024-25,OCT,52,4073,U.S. Virgin Islands ,0.0128,2-4 years,"2024-25, U.S. Virgin Islands : 2-4 years"
2022-23,MAY,1078953,1812441,Michigan,0.5953,65+ years,"2022-23, Michigan: 65+ years"
2022-23,MAY,1822938,6714728,Indiana,0.2715,Overall,"2022-23, Indiana: Overall"
2023-24,AUG,10980,4006528,Michigan,0.0027,18-49 years,"2023-24, Michigan: 18-49 years"
2023-24,JUL,0,53615.5,Mississippi,0,6-23 months,"2023-24, Mississippi: 6-23 months"
2023-24,MAY,4638,49666,Federated States of Micronesia,0.0934,18-49 years,"2023-24, Federated States of Micronesia: 18-49 years"
2023-24,MAY,96823,295984,Maryland,0.3271,5-8 years,"2023-24, Maryland: 5-8 years"
2022-23,APR,,,Rhode Island,,50-64 years,"2022-23, Rhode Island: 50-64 years"
2022-23,SEP,1750,39611,North Dakota,0.0442,9-12 years,"2022-23, North Dakota: 9-12 years"
2023-24,JUN,,,New Hampshire,,18-49 years,"2023-24, New Hampshire: 18-49 years"
2023-24,MAR,68989,153657,Connecticut,0.449,5-8 years,"2023-24, Connecticut: 5-8 years"
2023-24,MAY,60932,247935,Vermont,0.2458,18-49 years,"2023-24, Vermont: 18-49 years"
2023-24,NOV,1,16583,Republic of Palau,0.0001,18+ years,"2023-24, Republic of Palau: 18+ years"
2023-24,SEP,2483,45161,Delaware,0.055,5-8 years,"2023-24, Delaware: 5-8 years"
2023-24,SEP,348646,4574131,Wisconsin,0.0762,18+ years,"2023-24, Wisconsin: 18+ years"
2024-25,AUG,,,Nebraska,,Overall,"2024-25, Nebraska: Overall"
2024-25,DEC,7376,52303,Montana,0.141,9-12 years,"2024-25, Montana: 9-12 years"
2024-25,JAN,,,Illinois,,9-12 years,"2024-25, Illinois: 9-12 years"
2024-25,NOV,895013,3380729,Oregon,0.2647,18+ years,"2024-25, Oregon: 18+ years"
2022-23,APR,,,New Hampshire,,9-12 years,"2022-23, New Hampshire: 9-12 years"
2022-23,DEC,69874,433368,Tennessee,0.1612,13-17 years,"2022-23, Tennessee: 13-17 years"
2022-23,DEC,22614,104306,New Mexico,0.2168,5-8 years,"2022-23, New Mexico: 5-8 years"
2022-23,JAN,65915,153657,Connecticut,0.429,5-8 years,"2022-23, Connecticut: 5-8 years"
2023-24,MAR,11613,33304,Delaware,0.3487,2-4 years,"2023-24, Delaware: 2-4 years"
2023-24,NOV,,,Virginia,,18+ years,"2023-24, Virginia: 18+ years"
2024-25,AUG,2166,151155,New Jersey,0.0143,6-23 months,"2024-25, New Jersey: 6-23 months"
2024-25,JUL,,,Nebraska,,6 months to 17 years,"2024-25, Nebraska: 6 months to 17 years"
2024-25,NOV,,,Kansas,,6 months to 17 years,"2024-25, Kansas: 6 months to 17 years"
2024-25,NOV,29474,223108,Kentucky,0.1321,9-12 years,"2024-25, Kentucky: 9-12 years"
2022-23,APR,23757,53773,Maine,0.4418,5-8 years,"2022-23, Maine: 5-8 years"
2022-23,DEC,213203,566136,Iowa,0.3766,65+ years,"2022-23, Iowa: 65+ years"
2022-23,FEB,,,South Carolina,,5-8 years,"2022-23, South Carolina: 5-8 years"
2022-23,FEB,,,Rhode Island,,50-64 years,"2022-23, Rhode Island: 50-64 years"
2022-23,OCT,,,Rhode Island,,50-64 years,"2022-23, Rhode Island: 50-64 years"
2022-23,SEP,126021,2512075,Maryland,0.0502,18-49 years,"2022-23, Maryland: 18-49 years"
2024-25,JAN,,,Mississippi,,5-8 years,"2024-25, Mississippi: 5-8 years"
2024-25,JAN,71253,275092,Wisconsin,0.259,5-8 years,"2024-25, Wisconsin: 5-8 years"
2024-25,OCT,6850,114544,Guam,0.0598,18+ years,"2024-25, Guam: 18+ years"
2024-25,SEP,5744,310939,Alabama,0.0185,13-17 years,"2024-25, Alabama: 13-17 years"
2023-24,APR,,,South Carolina,,9-12 years,"2023-24, South Carolina: 9-12 years"
2023-24,JAN,2277683,8789112,New York State,0.2591,18+ years,"2023-24, New York (excluding New York City): 18+ years"
2023-24,JUL,0,81507,U.S. Virgin Islands ,0,18+ years,"2023-24, U.S. Virgin Islands : 18+ years"
2023-24,JUN,117700,572469,Ohio,0.2056,9-12 years,"2023-24, Ohio: 9-12 years"
2023-24,NOV,25110,268724,Oklahoma,0.0934,13-17 years,"2023-24, Oklahoma: 13-17 years"
2024-25,DEC,310532,1568273.5,Philadelphia,0.198,Overall,"2024-25, Philadelphia: Overall"
2022-23,DEC,102730,504671,North Carolina,0.2036,5-8 years,"2022-23, North Carolina: 5-8 years"
2023-24,AUG,10235,2335478,Pennsylvania,0.0044,50-64 years,"2023-24, Pennsylvania (excluding Philadelphia County): 50-64 years"
2023-24,AUG,1657,460217,Utah,0.0036,50-64 years,"2023-24, Utah: 50-64 years"
2023-24,MAR,29607,123698.5,Arizona,0.2393,6-23 months,"2023-24, Arizona: 6-23 months"
2024-25,AUG,,,Houston,,2-4 years,"2024-25, Houston: 2-4 years"
2024-25,AUG,,,Rhode Island,,9-12 years,"2024-25, Rhode Island: 9-12 years"
2024-25,JAN,532482,2627928,Colorado,0.2026,18-49 years,"2024-25, Colorado: 18-49 years"
2024-25,OCT,,,Chicago,,50-64 years,"2024-25, Chicago: 50-64 years"
2024-25,SEP,,,Chicago,,Overall,"2024-25, Chicago: Overall"
2022-23,NOV,39332,245322,Alabama,0.1603,9-12 years,"2022-23, Alabama: 9-12 years"
2022-23,NOV,512003,3027263,Oklahoma,0.1691,18+ years,"2022-23, Oklahoma: 18+ years"
2023-24,AUG,11642,507668,Maine,0.0229,18-49 years,"2023-24, Maine: 18-49 years"
2023-24,JAN,3227,16061,Guam,0.2009,65+ years,"2023-24, Guam: 65+ years"
2023-24,JAN,,,New Hampshire,,9-12 years,"2023-24, New Hampshire: 9-12 years"
2023-24,JUN,,,New Hampshire,,2-4 years,"2023-24, New Hampshire: 2-4 years"
2023-24,OCT,154020,875398,Kentucky,0.1759,50-64 years,"2023-24, Kentucky: 50-64 years"
2024-25,AUG,49,215130,Oklahoma,0.0002,5-8 years,"2024-25, Oklahoma: 5-8 years"
2024-25,JUL,0,37396.5,Puerto Rico,0,6-23 months,"2024-25, Puerto Rico: 6-23 months"
2022-23,APR,9749,15641.5,American Samoa,0.6233,6 months to 17 years,"2022-23, American Samoa: 6 months to 17 years"
2022-23,APR,28185,85458,Alabama,0.3298,6-23 months,"2022-23, Alabama: 6-23 months"
2022-23,MAY,184902,1334197,Nevada,0.1386,18-49 years,"2022-23, Nevada: 18-49 years"
2022-23,SEP,138622,2627928,Colorado,0.0527,18-49 years,"2022-23, Colorado: 18-49 years"
2023-24,OCT,,,South Carolina,,50-64 years,"2023-24, South Carolina: 50-64 years"
2023-24,OCT,747775,1812441,Michigan,0.4126,65+ years,"2023-24, Michigan: 65+ years"
2024-25,AUG,,,Kansas,,2-4 years,"2024-25, Kansas: 2-4 years"
2024-25,JAN,9194,34429,Vermont,0.267,13-17 years,"2024-25, Vermont: 13-17 years"
2024-25,SEP,,,Kansas,,50-64 years,"2024-25, Kansas: 50-64 years"
2024-25,SEP,2196,104275,Idaho,0.0211,9-12 years,"2024-25, Idaho: 9-12 years"
2022-23,JUN,41276,301827,Louisiana,0.1368,13-17 years,"2022-23, Louisiana: 13-17 years"
2022-23,MAY,,,Virginia,,50-64 years,"2022-23, Virginia: 50-64 years"
2022-23,NOV,106718,552427,Alaska,0.1932,18+ years,"2022-23, Alaska: 18+ years"
2022-23,OCT,13300,38454,Maine,0.3459,2-4 years,"2022-23, Maine: 2-4 years"
2022-23,OCT,249823,1829219,New Jersey,0.1366,50-64 years,"2022-23, New Jersey: 50-64 years"
2023-24,DEC,102859,300529,Maine,0.3423,50-64 years,"2023-24, Maine: 50-64 years"
2023-24,JUL,,,Kansas,,5-8 years,"2023-24, Kansas: 5-8 years"
