Current_season,Month,Previous_covid_Season,Jurisdiction,2024_25_estimate,Previous_Estimate,Difference_in_season_estimate,Numerator,Previous_season_numerator,Population,Age_group_label,Difference_indicator,Child_or_adult
2024-25,DEC,2023-24,Alaska,0.0343,0.0302,0.0041,"5,962","5,250",173878,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Alabama,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Arkansas,0.011,0.0091,0.0019,"7,513","6,221",681696.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,American Samoa,0,0.0001,-0.0001,0,2,15641.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Arizona,0.0295,0.0256,0.0039,"47,331","41,073",1605718.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,New York City,0.0367,0.0307,0.006,"60,296","50,431",1640786,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,California,0.051,0.0449,0.0061,"437,295","384,735",8567802,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Chicago,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Colorado,0.0788,0.0677,0.0111,"96,027","82,541",1218497,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Connecticut,0.0441,0.0439,0.0003,"30,986","30,805",701836,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,District of Columbia,0.1374,0.1053,0.0321,"17,169","13,156",124975.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Delaware,0.027,0.0288,-0.0019,"5,379","5,749",199407.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Florida,0.0083,0.0083,-0,"34,408","34,503",4140953,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Federated States of Micronesia,0.0023,0,0.0023,80,0,34647,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Georgia,0.0136,0.0142,-0.0006,"33,106","34,578",2437453.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Guam,0.0024,0.0002,0.0022,127,12,52373,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Hawaii,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Iowa,0.0399,0.0361,0.0038,"28,208","25,504",707072,6 months-17 years,Within 5 percentage points,Child
