Current_season,Month,Previous_flu_Season,Jurisdiction,2024_25_estimate,Previous_Estimate,Difference_in_season_estimate,Numerator,Previous_season_numerator,Population,Age_group_label,Difference_indicator,Child_or_adult
2024-25,SEP,2022-23,Alaska,0.0296,0.0086,0.021,"5,150","1,501",173878,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Alabama,0.0253,0.0346,-0.0093,"26,798","36,617",1059160,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Arkansas,0.0116,0.0118,-0.0002,"7,906","8,040",681696.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,American Samoa,0.0197,0.3448,-0.3251,308,"5,393",15641.5,6 months-17 years,Lower by 5 percentage points or greater,Child
2024-25,SEP,2022-23,Arizona,0.0307,0.0315,-0.0008,"49,315","50,619",1605718.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,New York City,0.0873,0.0936,-0.0062,"143,283","153,529",1640786,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,California,0.0386,0.0502,-0.0116,"330,298","429,720",8567802,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Chicago,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,Colorado,0.0629,0.0634,-0.0005,"76,659","77,245",1218497,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Connecticut,0.0869,0.0835,0.0034,"60,986","58,592",701836,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,District of Columbia,0.0568,0.0654,-0.0086,"7,097","8,168",124975.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Delaware,0.0546,0.0541,0.0006,"10,894","10,779",199407.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Florida,0.0333,0.0287,0.0046,"137,780","118,814",4140953,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Federated States of Micronesia,0.0192,0.0014,0.0178,666,48,34647,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Georgia,0,0,0,0,0,2437453.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Guam,0.0317,0.0038,0.0279,"1,658",197,52373,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Hawaii,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,Iowa,0.0386,0.0426,-0.004,"27,325","30,127",707072,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Idaho,0.0242,0.0312,-0.0071,"10,635","13,739",440269.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Illinois,0.0459,0.0438,0.0021,"124,231","118,603",2707942,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Indiana,0.0334,0.0376,-0.0041,"51,014","57,327",1526214,6 months-17 years,Within 5 percentage points,Child
