"Respiratory Virus Laboratory Emergency Department Network Surveillance (RESP-LENS) (downloaded on "Feb-20-2025)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Virus,Region,RegionDescription,Age,Number_Tested,Number_Positive,Percent_Pos
202340,2023-24,SARS-CoV-2,,National,,4821,675,14
202340,2023-24,Influenza,,National,,4463,82,1.84
202340,2023-24,RSV,,National,,3724,154,4.14
202341,2023-24,SARS-CoV-2,,National,,4715,633,13.43
202341,2023-24,Influenza,,National,,4404,104,2.36
202341,2023-24,RSV,,National,,3693,163,4.41
202342,2023-24,SARS-CoV-2,,National,,4966,652,13.13
202342,2023-24,Influenza,,National,,4676,141,3.02
202342,2023-24,RSV,,National,,3987,215,5.39
202343,2023-24,SARS-CoV-2,,National,,5091,658,12.92
202343,2023-24,Influenza,,National,,4854,160,3.3
202343,2023-24,RSV,,National,,4165,300,7.2
202344,2023-24,SARS-CoV-2,,National,,5353,690,12.89
202344,2023-24,Influenza,,National,,5107,210,4.11
202344,2023-24,RSV,,National,,4395,323,7.35
202345,2023-24,SARS-CoV-2,,National,,5916,826,13.96
202345,2023-24,Influenza,,National,,5721,295,5.16
202345,2023-24,RSV,,National,,4967,408,8.21
202346,2023-24,SARS-CoV-2,,National,,7256,1101,15.17
202346,2023-24,Influenza,,National,,6785,445,6.56
202346,2023-24,RSV,,National,,5615,574,10.22
202347,2023-24,SARS-CoV-2,,National,,7029,1129,16.06
202347,2023-24,Influenza,,National,,6676,556,8.33
202347,2023-24,RSV,,National,,5588,629,11.26
202348,2023-24,SARS-CoV-2,,National,,7891,1382,17.51
202348,2023-24,Influenza,,National,,7515,678,9.02
202348,2023-24,RSV,,National,,6215,662,10.65
202349,2023-24,SARS-CoV-2,,National,,8357,1406,16.82
202349,2023-24,Influenza,,National,,8064,997,12.36
202349,2023-24,RSV,,National,,6685,763,11.41
202350,2023-24,SARS-CoV-2,,National,,9082,1494,16.45
202350,2023-24,Influenza,,National,,8766,1429,16.3
202350,2023-24,RSV,,National,,7337,900,12.27
202351,2023-24,SARS-CoV-2,,National,,10413,1814,17.42
202351,2023-24,Influenza,,National,,10118,2153,21.28
202351,2023-24,RSV,,National,,8418,978,11.62
202352,2023-24,SARS-CoV-2,,National,,11823,2146,18.15
202352,2023-24,Influenza,,National,,11616,2915,25.09
202352,2023-24,RSV,,National,,9674,1115,11.53
202401,2023-24,SARS-CoV-2,,National,,10704,1952,18.24
202401,2023-24,Influenza,,National,,10431,2125,20.37
202401,2023-24,RSV,,National,,8620,987,11.45
202402,2023-24,SARS-CoV-2,,National,,8559,1487,17.37
202402,2023-24,Influenza,,National,,8312,1570,18.89
202402,2023-24,RSV,,National,,6712,628,9.36
202403,2023-24,SARS-CoV-2,,National,,7393,1216,16.45
202403,2023-24,Influenza,,National,,7109,1347,18.95
202403,2023-24,RSV,,National,,5833,552,9.46
202404,2023-24,SARS-CoV-2,,National,,7227,1095,15.15
202404,2023-24,Influenza,,National,,6976,1400,20.07
202404,2023-24,RSV,,National,,5560,446,8.02
202405,2023-24,SARS-CoV-2,,National,,6918,1021,14.76
202405,2023-24,Influenza,,National,,6682,1201,17.97
202405,2023-24,RSV,,National,,5430,437,8.05
202406,2023-24,SARS-CoV-2,,National,,7406,1044,14.1
202406,2023-24,Influenza,,National,,7148,1350,18.89
202406,2023-24,RSV,,National,,5812,389,6.69
202407,2023-24,SARS-CoV-2,,National,,7339,987,13.45
202407,2023-24,Influenza,,National,,7083,1366,19.29
202407,2023-24,RSV,,National,,5830,361,6.19
202408,2023-24,SARS-CoV-2,,National,,7474,887,11.87
202408,2023-24,Influenza,,National,,7272,1377,18.94
202408,2023-24,RSV,,National,,5892,319,5.41
202409,2023-24,SARS-CoV-2,,National,,7043,718,10.19
202409,2023-24,Influenza,,National,,6859,1236,18.02
202409,2023-24,RSV,,National,,5605,284,5.07
202410,2023-24,SARS-CoV-2,,National,,6846,587,8.57
202410,2023-24,Influenza,,National,,6659,1162,17.45
202410,2023-24,RSV,,National,,5547,235,4.24
202411,2023-24,SARS-CoV-2,,National,,6353,435,6.85
202411,2023-24,Influenza,,National,,6136,883,14.39
202411,2023-24,RSV,,National,,5108,195,3.82
202412,2023-24,SARS-CoV-2,,National,,6122,410,6.7
202412,2023-24,Influenza,,National,,5888,756,12.84
202412,2023-24,RSV,,National,,4845,152,3.14
202413,2023-24,SARS-CoV-2,,National,,5809,377,6.49
202413,2023-24,Influenza,,National,,5635,714,12.67
202413,2023-24,RSV,,National,,4632,113,2.44
202414,2023-24,SARS-CoV-2,,National,,5732,332,5.79
202414,2023-24,Influenza,,National,,5517,564,10.22
202414,2023-24,RSV,,National,,4541,91,2
202415,2023-24,SARS-CoV-2,,National,,5536,288,5.2
202415,2023-24,Influenza,,National,,5319,468,8.8
202415,2023-24,RSV,,National,,4383,82,1.87
202416,2023-24,SARS-CoV-2,,National,,5621,262,4.66
202416,2023-24,Influenza,,National,,5376,335,6.23
202416,2023-24,RSV,,National,,4541,52,1.15
