Surveillance Network,Season,MMWR Year,MMWR Week,Age group,Sex,Race/Ethnicity,Site,Weekly Rate,Cumulative Rate,Week Ending Date,Type
COVID-NET,2021-22,2022.0,39.0,Overall,Overall,Overall,Utah,4.1,446.0,2022-10-01 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,38.0,Overall,Overall,Overall,Utah,3.1,442.0,2022-09-24 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,37.0,Overall,Overall,Overall,Utah,4.6,439.0,2022-09-17 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,36.0,Overall,Overall,Overall,Utah,3.9,434.0,2022-09-10 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,35.0,Overall,Overall,Overall,Utah,3.8,430.0,2022-09-03 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,34.0,Overall,Overall,Overall,Utah,4.6,426.0,2022-08-27 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,33.0,Overall,Overall,Overall,Utah,4.6,422.0,2022-08-20 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,32.0,Overall,Overall,Overall,Utah,6.4,417.0,2022-08-13 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,31.0,Overall,Overall,Overall,Utah,6.5,411.0,2022-08-06 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,30.0,Overall,Overall,Overall,Utah,7.8,404.0,2022-07-30 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,29.0,Overall,Overall,Overall,Utah,8.5,396.0,2022-07-23 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,28.0,Overall,Overall,Overall,Utah,5.5,388.0,2022-07-16 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,27.0,Overall,Overall,Overall,Utah,8.8,382.0,2022-07-09 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,26.0,Overall,Overall,Overall,Utah,11.5,374.0,2022-07-02 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,25.0,Overall,Overall,Overall,Utah,8.3,362.0,2022-06-25 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,24.0,Overall,Overall,Overall,Utah,7.5,354.0,2022-06-18 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,23.0,Overall,Overall,Overall,Utah,8.2,346.0,2022-06-11 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,22.0,Overall,Overall,Overall,Utah,6.1,338.0,2022-06-04 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,21.0,Overall,Overall,Overall,Utah,5.7,332.0,2022-05-28 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,20.0,Overall,Overall,Overall,Utah,4.3,290.0,2022-05-21 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,19.0,Overall,Overall,Overall,Utah,3.0,286.0,2022-05-14 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,18.0,Overall,Overall,Overall,Utah,2.8,283.0,2022-05-07 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,17.0,Overall,Overall,Overall,Utah,2.5,280.0,2022-04-30 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,16.0,Overall,Overall,Overall,Utah,1.6,278.0,2022-04-23 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,15.0,Overall,Overall,Overall,Utah,1.2,276.0,2022-04-16 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,14.0,Overall,Overall,Overall,Utah,1.4,275.0,2022-04-09 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,13.0,Overall,Overall,Overall,Utah,1.3,274.0,2022-04-02 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,12.0,Overall,Overall,Overall,Utah,1.9,272.0,2022-03-26 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,11.0,Overall,Overall,Overall,Utah,2.4,270.0,2022-03-19 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,10.0,Overall,Overall,Overall,Utah,3.5,268.0,2022-03-12 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,9.0,Overall,Overall,Overall,Utah,4.6,265.0,2022-03-05 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,8.0,Overall,Overall,Overall,Utah,6.1,260.0,2022-02-26 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,7.0,Overall,Overall,Overall,Utah,7.3,254.0,2022-02-19 00:00:00,Unadjusted Rate
