Week Ending,Influenza_Season,Estimate,MMWR_Year,MMWR_Week,As of date,Race and ethnicity,Current_Season_Week_Ending_Label
08/27/2022 12:00:00 AM,2022-2023,0.841,2022,34,,Overall,2024-08-24
09/03/2022 12:00:00 AM,2022-2023,1.61,2022,35,,Overall,2024-08-31
05/01/2021 12:00:00 AM,2020-2021,37.17,2021,17,,Hispanic,2025-04-26
05/08/2021 12:00:00 AM,2020-2021,37.19,2021,18,,Hispanic,2025-05-03
05/15/2021 12:00:00 AM,2020-2021,37.2,2021,19,,Hispanic,2025-05-10
05/22/2021 12:00:00 AM,2020-2021,37.21,2021,20,,Hispanic,2025-05-17
05/29/2021 12:00:00 AM,2020-2021,37.23,2021,21,,Hispanic,2025-05-24
08/07/2021 12:00:00 AM,2021-2022,0.0698,2021,31,,Hispanic,2024-08-03
08/14/2021 12:00:00 AM,2021-2022,0.204,2021,32,,Hispanic,2024-08-10
08/21/2021 12:00:00 AM,2021-2022,0.475,2021,33,,Hispanic,2024-08-17
08/28/2021 12:00:00 AM,2021-2022,0.884,2021,34,,Hispanic,2024-08-24
09/04/2021 12:00:00 AM,2021-2022,1.61,2021,35,,Hispanic,2024-08-31
09/11/2021 12:00:00 AM,2021-2022,2.75,2021,36,,Hispanic,2024-09-07
09/18/2021 12:00:00 AM,2021-2022,4.57,2021,37,,Hispanic,2024-09-14
09/25/2021 12:00:00 AM,2021-2022,7.03,2021,38,,Hispanic,2024-09-21
08/10/2019 12:00:00 AM,2019-2020,0.184,2019,32,,Overall,2024-08-03
08/17/2019 12:00:00 AM,2019-2020,0.447,2019,33,,Overall,2024-08-10
08/24/2019 12:00:00 AM,2019-2020,0.881,2019,34,,Overall,2024-08-17
08/31/2019 12:00:00 AM,2019-2020,1.58,2019,35,,Overall,2024-08-24
09/07/2019 12:00:00 AM,2019-2020,2.75,2019,36,,Overall,2024-08-31
09/14/2019 12:00:00 AM,2019-2020,5.1,2019,37,,Overall,2024-09-07
09/21/2019 12:00:00 AM,2019-2020,8.66,2019,38,,Overall,2024-09-14
09/28/2019 12:00:00 AM,2019-2020,13.56,2019,39,,Overall,2024-09-21
10/05/2019 12:00:00 AM,2019-2020,19.92,2019,40,,Overall,2024-09-28
10/12/2019 12:00:00 AM,2019-2020,26.7,2019,41,,Overall,2024-10-05
10/19/2019 12:00:00 AM,2019-2020,32.85,2019,42,,Overall,2024-10-12
10/26/2019 12:00:00 AM,2019-2020,38.36,2019,43,,Overall,2024-10-19
11/02/2019 12:00:00 AM,2019-2020,42.36,2019,44,,Overall,2024-10-26
11/09/2019 12:00:00 AM,2019-2020,45.42,2019,45,,Overall,2024-11-02
11/16/2019 12:00:00 AM,2019-2020,47.66,2019,46,,Overall,2024-11-09
11/23/2019 12:00:00 AM,2019-2020,49.53,2019,47,,Overall,2024-11-16
11/30/2019 12:00:00 AM,2019-2020,50.37,2019,48,,Overall,2024-11-23
12/07/2019 12:00:00 AM,2019-2020,51.48,2019,49,,Overall,2024-11-30
12/14/2019 12:00:00 AM,2019-2020,52.45,2019,50,,Overall,2024-12-07
12/21/2019 12:00:00 AM,2019-2020,53.17,2019,51,,Overall,2024-12-14
12/28/2019 12:00:00 AM,2019-2020,53.45,2019,52,,Overall,2024-12-21
01/04/2020 12:00:00 AM,2019-2020,53.75,2020,1,,Overall,2024-12-28
01/11/2020 12:00:00 AM,2019-2020,54.2,2020,2,,Overall,2025-01-04
01/18/2020 12:00:00 AM,2019-2020,54.56,2020,3,,Overall,2025-01-11
01/25/2020 12:00:00 AM,2019-2020,54.83,2020,4,,Overall,2025-01-18
02/01/2020 12:00:00 AM,2019-2020,55.08,2020,5,,Overall,2025-01-25
02/08/2020 12:00:00 AM,2019-2020,55.28,2020,6,,Overall,2025-02-01
02/15/2020 12:00:00 AM,2019-2020,55.44,2020,7,,Overall,2025-02-08
02/22/2020 12:00:00 AM,2019-2020,55.58,2020,8,,Overall,2025-02-15
02/29/2020 12:00:00 AM,2019-2020,55.73,2020,9,,Overall,2025-02-22
03/07/2020 12:00:00 AM,2019-2020,55.9,2020,10,,Overall,2025-03-01
03/14/2020 12:00:00 AM,2019-2020,56.05,2020,11,,Overall,2025-03-08
03/21/2020 12:00:00 AM,2019-2020,56.11,2020,12,,Overall,2025-03-15
03/28/2020 12:00:00 AM,2019-2020,56.14,2020,13,,Overall,2025-03-22
04/04/2020 12:00:00 AM,2019-2020,56.15,2020,14,,Overall,2025-03-29
04/11/2020 12:00:00 AM,2019-2020,56.16,2020,15,,Overall,2025-04-05
04/18/2020 12:00:00 AM,2019-2020,56.17,2020,16,,Overall,2025-04-12
04/25/2020 12:00:00 AM,2019-2020,56.18,2020,17,,Overall,2025-04-19
05/02/2020 12:00:00 AM,2019-2020,56.18,2020,18,,Overall,2025-04-26
05/09/2020 12:00:00 AM,2019-2020,56.19,2020,19,,Overall,2025-05-03
05/16/2020 12:00:00 AM,2019-2020,56.2,2020,20,,Overall,2025-05-10
05/23/2020 12:00:00 AM,2019-2020,56.21,2020,21,,Overall,2025-05-17
05/30/2020 12:00:00 AM,2019-2020,56.22,2020,22,,Overall,2025-05-24
08/08/2020 12:00:00 AM,2020-2021,0.0952,2020,32,,Overall,2024-08-03
08/15/2020 12:00:00 AM,2020-2021,0.485,2020,33,,Overall,2024-08-10
08/22/2020 12:00:00 AM,2020-2021,1.72,2020,34,,Overall,2024-08-17
08/29/2020 12:00:00 AM,2020-2021,3.49,2020,35,,Overall,2024-08-24
09/05/2020 12:00:00 AM,2020-2021,6.37,2020,36,,Overall,2024-08-31
09/12/2020 12:00:00 AM,2020-2021,10.33,2020,37,,Overall,2024-09-07
09/19/2020 12:00:00 AM,2020-2021,15.96,2020,38,,Overall,2024-09-14
09/26/2020 12:00:00 AM,2020-2021,22.02,2020,39,,Overall,2024-09-21
10/03/2020 12:00:00 AM,2020-2021,28.58,2020,40,,Overall,2024-09-28
10/10/2020 12:00:00 AM,2020-2021,35.54,2020,41,,Overall,2024-10-05
10/17/2020 12:00:00 AM,2020-2021,41.26,2020,42,,Overall,2024-10-12
10/24/2020 12:00:00 AM,2020-2021,45.86,2020,43,,Overall,2024-10-19
10/31/2020 12:00:00 AM,2020-2021,49.09,2020,44,,Overall,2024-10-26
11/07/2020 12:00:00 AM,2020-2021,51.19,2020,45,,Overall,2024-11-02
11/14/2020 12:00:00 AM,2020-2021,52.82,2020,46,,Overall,2024-11-09
11/21/2020 12:00:00 AM,2020-2021,54.1,2020,47,,Overall,2024-11-16
11/28/2020 12:00:00 AM,2020-2021,54.67,2020,48,,Overall,2024-11-23
12/05/2020 12:00:00 AM,2020-2021,55.36,2020,49,,Overall,2024-11-30
12/12/2020 12:00:00 AM,2020-2021,55.92,2020,50,,Overall,2024-12-07
12/19/2020 12:00:00 AM,2020-2021,56.33,2020,51,,Overall,2024-12-14
12/26/2020 12:00:00 AM,2020-2021,56.52,2020,52,,Overall,2024-12-21
01/02/2021 12:00:00 AM,2020-2021,56.69,2020,53,,Overall,2024-12-28
01/09/2021 12:00:00 AM,2020-2021,56.9,2021,1,,Overall,2025-01-04
01/16/2021 12:00:00 AM,2020-2021,57.07,2021,2,,Overall,2025-01-11
01/23/2021 12:00:00 AM,2020-2021,57.2,2021,3,,Overall,2025-01-18
01/30/2021 12:00:00 AM,2020-2021,57.31,2021,4,,Overall,2025-01-25
02/06/2021 12:00:00 AM,2020-2021,57.39,2021,5,,Overall,2025-02-01
02/13/2021 12:00:00 AM,2020-2021,57.45,2021,6,,Overall,2025-02-08
02/20/2021 12:00:00 AM,2020-2021,57.49,2021,7,,Overall,2025-02-15
02/27/2021 12:00:00 AM,2020-2021,57.55,2021,8,,Overall,2025-02-22
03/06/2021 12:00:00 AM,2020-2021,57.59,2021,9,,Overall,2025-03-01
03/13/2021 12:00:00 AM,2020-2021,57.63,2021,10,,Overall,2025-03-08
03/20/2021 12:00:00 AM,2020-2021,57.66,2021,11,,Overall,2025-03-15
03/27/2021 12:00:00 AM,2020-2021,57.69,2021,12,,Overall,2025-03-22
09/30/2023 12:00:00 AM,2023-2024,9.64,2023,39,,Hispanic,2024-09-28
09/23/2023 12:00:00 AM,2023-2024,7.2,2023,38,,Hispanic,2024-09-21
01/29/2022 12:00:00 AM,2021-2022,53.13,2022,4,,Overall,2025-01-25
02/05/2022 12:00:00 AM,2021-2022,53.29,2022,5,,Overall,2025-02-01
02/12/2022 12:00:00 AM,2021-2022,53.43,2022,6,,Overall,2025-02-08
02/19/2022 12:00:00 AM,2021-2022,53.54,2022,7,,Overall,2025-02-15
02/26/2022 12:00:00 AM,2021-2022,53.63,2022,8,,Overall,2025-02-22
03/05/2022 12:00:00 AM,2021-2022,53.71,2022,9,,Overall,2025-03-01
03/12/2022 12:00:00 AM,2021-2022,53.77,2022,10,,Overall,2025-03-08
03/19/2022 12:00:00 AM,2021-2022,53.82,2022,11,,Overall,2025-03-15
03/26/2022 12:00:00 AM,2021-2022,53.86,2022,12,,Overall,2025-03-22
04/02/2022 12:00:00 AM,2021-2022,53.9,2022,13,,Overall,2025-03-29
04/09/2022 12:00:00 AM,2021-2022,53.92,2022,14,,Overall,2025-04-05
04/16/2022 12:00:00 AM,2021-2022,53.94,2022,15,,Overall,2025-04-12
04/23/2022 12:00:00 AM,2021-2022,53.96,2022,16,,Overall,2025-04-19
04/30/2022 12:00:00 AM,2021-2022,53.98,2022,17,,Overall,2025-04-26
05/07/2022 12:00:00 AM,2021-2022,53.99,2022,18,,Overall,2025-05-03
05/14/2022 12:00:00 AM,2021-2022,54.0,2022,19,,Overall,2025-05-10
05/21/2022 12:00:00 AM,2021-2022,54.02,2022,20,,Overall,2025-05-17
05/28/2022 12:00:00 AM,2021-2022,54.03,2022,21,,Overall,2025-05-24
08/10/2019 12:00:00 AM,2019-2020,0.238,2019,32,,Hispanic,2024-08-03
08/17/2019 12:00:00 AM,2019-2020,0.556,2019,33,,Hispanic,2024-08-10
10/28/2023 12:00:00 AM,2023-2024,35.85,2023,43,,Overall,2024-10-26
10/21/2023 12:00:00 AM,2023-2024,18.15,2023,42,,Hispanic,2024-10-19
10/07/2023 12:00:00 AM,2023-2024,12.68,2023,40,,Hispanic,2024-10-05
10/14/2023 12:00:00 AM,2023-2024,15.62,2023,41,,Hispanic,2024-10-12
10/28/2023 12:00:00 AM,2023-2024,20.29,2023,43,,Hispanic,2024-10-26
08/24/2019 12:00:00 AM,2019-2020,1.01,2019,34,,Hispanic,2024-08-17
08/31/2019 12:00:00 AM,2019-2020,1.62,2019,35,,Hispanic,2024-08-24
09/07/2019 12:00:00 AM,2019-2020,2.46,2019,36,,Hispanic,2024-08-31
09/14/2019 12:00:00 AM,2019-2020,4.23,2019,37,,Hispanic,2024-09-07
09/21/2019 12:00:00 AM,2019-2020,6.58,2019,38,,Hispanic,2024-09-14
09/28/2019 12:00:00 AM,2019-2020,9.41,2019,39,,Hispanic,2024-09-21
10/05/2019 12:00:00 AM,2019-2020,12.73,2019,40,,Hispanic,2024-09-28
10/12/2019 12:00:00 AM,2019-2020,16.2,2019,41,,Hispanic,2024-10-05
10/19/2019 12:00:00 AM,2019-2020,19.33,2019,42,,Hispanic,2024-10-12
10/26/2019 12:00:00 AM,2019-2020,22.2,2019,43,,Hispanic,2024-10-19
11/02/2019 12:00:00 AM,2019-2020,24.45,2019,44,,Hispanic,2024-10-26
11/09/2019 12:00:00 AM,2019-2020,26.41,2019,45,,Hispanic,2024-11-02
11/16/2019 12:00:00 AM,2019-2020,27.99,2019,46,,Hispanic,2024-11-09
11/23/2019 12:00:00 AM,2019-2020,29.44,2019,47,,Hispanic,2024-11-16
11/30/2019 12:00:00 AM,2019-2020,30.22,2019,48,,Hispanic,2024-11-23
12/07/2019 12:00:00 AM,2019-2020,31.17,2019,49,,Hispanic,2024-11-30
12/14/2019 12:00:00 AM,2019-2020,32.02,2019,50,,Hispanic,2024-12-07
12/21/2019 12:00:00 AM,2019-2020,32.69,2019,51,,Hispanic,2024-12-14
12/28/2019 12:00:00 AM,2019-2020,32.98,2019,52,,Hispanic,2024-12-21
01/04/2020 12:00:00 AM,2019-2020,33.25,2020,1,,Hispanic,2024-12-28
01/11/2020 12:00:00 AM,2019-2020,33.71,2020,2,,Hispanic,2025-01-04
01/18/2020 12:00:00 AM,2019-2020,34.14,2020,3,,Hispanic,2025-01-11
01/25/2020 12:00:00 AM,2019-2020,34.49,2020,4,,Hispanic,2025-01-18
