vaccine,geographic_level,geographic_name,demographic_level,demographic_name,indicator_label,month_week,curr_week_ending,prev_week_ending,curr_season,prev_season,curr_est,past_est,curr_ci_halfwidth_95pct,past_ci_halfwidth_95pct,difference_estimate,significance,curr_ci_95,past_ci_95,diff_ci_95,difference_indicator,estimate,binrangetext,binrangeorder
COVID,State,Michigan,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,7.9,8.4,2.8603,1.8369,-0.5272,3.3993,5.0 to 10.7,6.6 to 10.2,-3.9 to 2.9,Similar to Last Season,0.0786,7.3 - 9.7,3
COVID,State,Minnesota,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,16,16.8,3.1576,2.38,-0.7331,3.9541,12.9 to 19.2,14.4 to 19.1,-4.7 to 3.2,Similar to Last Season,0.1602,12.2 - 28.7,5
COVID,State,Mississippi,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,2.6,5.2,1.5641,1.7567,-2.6339,2.3521,1.0 to 4.1,3.5 to 7.0,-5.0 to -0.3,Lower than Last Season,0.0258,2.6 - 5.2,1
COVID,State,Missouri,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,6.4,8.6,2.5351,1.8003,-2.1482,3.1093,3.9 to 9.0,6.8 to 10.4,-5.3 to 1.0,Similar to Last Season,0.0644,5.3 - 7.2,2
COVID,State,Montana,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,6.9,8.3,3.0956,1.7029,-1.3883,3.5331,3.8 to 10.0,6.6 to 10.0,-4.9 to 2.1,Similar to Last Season,0.0687,5.3 - 7.2,2
COVID,State,Nebraska,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,14.2,9.7,4.9858,2.2436,4.4999,5.4674,9.2 to 19.2,7.4 to 11.9,-1.0 to 10.0,Similar to Last Season,0.1419,12.2 - 28.7,5
COVID,State,Nevada,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,8.5,6.7,3.9317,1.8725,1.7739,4.3548,4.5 to 12.4,4.8 to 8.6,-2.6 to 6.1,Similar to Last Season,0.0845,7.3 - 9.7,3
COVID,State,New Hampshire,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,14.1,15.8,3.3003,2.5406,-1.7483,4.1649,10.8 to 17.4,13.3 to 18.4,-5.9 to 2.4,Similar to Last Season,0.1407,12.2 - 28.7,5
COVID,State,New Jersey,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,7.2,9.3,2.2604,1.7242,-2.0813,2.8429,5.0 to 9.5,7.6 to 11.1,-4.9 to 0.8,Similar to Last Season,0.0725,7.3 - 9.7,3
COVID,State,New Mexico,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,8.9,12.2,3.5098,2.1612,-3.2305,4.1218,5.4 to 12.5,10.0 to 14.3,-7.4 to 0.9,Similar to Last Season,0.0894,7.3 - 9.7,3
