comparison_type,week_ending,current_season_week_ending_label,comparison_group_1,comparison_group_2,comparison_group1_point_estimate,comparison_group2_point_estimate,estimate_difference,difference_estimate_lower_95_ci,difference_estimate_upper_95_ci,significant_at_95_pct,comparison_group_1_sort_order,comparison_group_2_sort_order
,12/28/2024 12:00:00 AM,12/28/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,7.37,9.93,-2.56,-4.51,-0.61,*,15,16
,01/04/2025 12:00:00 AM,01/04/2025 12:00:00 AM,"Black, Non-Hispanic",Hispanic,7.37,10.2,-2.83,-4.75,-0.9,*,15,16
,01/04/2025 12:00:00 AM,01/04/2025 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",7.37,12.46,-5.09,-6.69,-3.49,*,15,17
,01/04/2025 12:00:00 AM,01/04/2025 12:00:00 AM,Hispanic,"White, Non-Hispanic",10.2,12.46,-2.26,-3.83,-0.69,*,16,17
,01/04/2025 12:00:00 AM,01/04/2025 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",7.37,12.99,-5.61,-7.96,-3.27,*,15,18
,01/04/2025 12:00:00 AM,01/04/2025 12:00:00 AM,Hispanic,"Other, Non-Hispanic",10.2,12.99,-2.79,-5.12,-0.46,*,16,18
,01/04/2025 12:00:00 AM,01/04/2025 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",12.46,12.99,-0.52,-2.59,1.55,,17,18
,10/05/2024 12:00:00 AM,10/05/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",3.1,3.77,-0.67,-1.87,0.53,,15,17
,10/05/2024 12:00:00 AM,10/05/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",3.36,3.77,-0.4,-1.14,0.34,,16,17
,10/19/2024 12:00:00 AM,10/19/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",3.43,6.82,-3.39,-4.86,-1.93,*,15,17
,10/19/2024 12:00:00 AM,10/19/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",4.54,6.82,-2.28,-3.74,-0.81,*,16,17
,10/12/2024 12:00:00 AM,10/12/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",3.28,4.67,-1.39,-2.65,-0.13,*,15,17
,10/12/2024 12:00:00 AM,10/12/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",3.57,4.67,-1.1,-2.01,-0.19,*,16,17
,10/05/2024 12:00:00 AM,10/05/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,3.1,3.36,-0.27,-1.52,0.98,,15,16
,10/12/2024 12:00:00 AM,10/12/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,3.28,3.57,-0.29,-1.54,0.95,,15,16
,10/05/2024 12:00:00 AM,10/05/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",3.1,4.42,-1.33,-2.95,0.3,,15,18
,10/05/2024 12:00:00 AM,10/05/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",3.36,4.42,-1.06,-2.38,0.26,,16,18
,10/05/2024 12:00:00 AM,10/05/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",3.77,4.42,-0.66,-1.92,0.61,,17,18
,10/12/2024 12:00:00 AM,10/12/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",3.28,4.6,-1.33,-2.85,0.2,,15,18
,10/12/2024 12:00:00 AM,10/12/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",3.57,4.6,-1.03,-2.28,0.21,,16,18
,10/12/2024 12:00:00 AM,10/12/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",4.67,4.6,0.07,-1.19,1.33,,17,18
,02/01/2025 12:00:00 AM,02/01/2025 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",8.47,13.08,-4.61,-6.7,-2.52,*,15,17
,02/01/2025 12:00:00 AM,02/01/2025 12:00:00 AM,Hispanic,"White, Non-Hispanic",11.29,13.08,-1.79,-4.03,0.45,,16,17
,02/01/2025 12:00:00 AM,02/01/2025 12:00:00 AM,"Black, Non-Hispanic",Hispanic,8.47,11.29,-2.82,-5.59,-0.06,*,15,16
,02/01/2025 12:00:00 AM,02/01/2025 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",8.47,13.27,-4.8,-7.49,-2.11,*,15,18
,02/01/2025 12:00:00 AM,02/01/2025 12:00:00 AM,Hispanic,"Other, Non-Hispanic",11.29,13.27,-1.97,-4.79,0.84,,16,18
,02/01/2025 12:00:00 AM,02/01/2025 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",13.08,13.27,-0.19,-2.34,1.96,,17,18
,02/08/2025 12:00:00 AM,02/08/2025 12:00:00 AM,"Black, Non-Hispanic",Hispanic,8.48,11.29,-2.81,-5.58,-0.05,*,15,16
,02/08/2025 12:00:00 AM,02/08/2025 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",8.48,13.27,-4.79,-7.48,-2.09,*,15,18
,02/08/2025 12:00:00 AM,02/08/2025 12:00:00 AM,Hispanic,"Other, Non-Hispanic",11.29,13.27,-1.97,-4.79,0.84,,16,18
,02/08/2025 12:00:00 AM,02/08/2025 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",13.14,13.27,-0.13,-2.28,2.03,,17,18
,02/08/2025 12:00:00 AM,02/08/2025 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",8.48,13.14,-4.66,-6.75,-2.57,*,15,17
,02/08/2025 12:00:00 AM,02/08/2025 12:00:00 AM,Hispanic,"White, Non-Hispanic",11.29,13.14,-1.85,-4.09,0.39,,16,17
,10/19/2024 12:00:00 AM,10/19/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",3.43,4.73,-1.3,-2.76,0.16,,15,18
,10/19/2024 12:00:00 AM,10/19/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",4.54,4.73,-0.18,-1.64,1.28,,16,18
,10/19/2024 12:00:00 AM,10/19/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",6.82,4.73,2.09,0.59,3.6,*,17,18
,10/19/2024 12:00:00 AM,10/19/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,3.43,4.54,-1.12,-2.54,0.3,,15,16
,10/26/2024 12:00:00 AM,10/26/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",3.43,6.23,-2.8,-5.12,-0.49,*,15,18
,10/26/2024 12:00:00 AM,10/26/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",4.56,6.23,-1.67,-3.98,0.65,,16,18
,10/26/2024 12:00:00 AM,10/26/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",7.32,6.23,1.09,-1.28,3.46,,17,18
,10/26/2024 12:00:00 AM,10/26/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",3.43,7.32,-3.89,-5.4,-2.38,*,15,17
,10/26/2024 12:00:00 AM,10/26/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",4.56,7.32,-2.75,-4.26,-1.24,*,16,17
,11/09/2024 12:00:00 AM,11/09/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,5.38,6.39,-1.01,-2.32,0.3,,15,16
,11/09/2024 12:00:00 AM,11/09/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",5.38,9.12,-3.73,-5.55,-1.92,*,15,18
,11/09/2024 12:00:00 AM,11/09/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",6.39,9.12,-2.72,-4.47,-0.98,*,16,18
,11/09/2024 12:00:00 AM,11/09/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",10.23,9.12,1.11,-0.64,2.87,,17,18
,11/09/2024 12:00:00 AM,11/09/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",5.38,10.23,-4.85,-6.17,-3.52,*,15,17
,11/09/2024 12:00:00 AM,11/09/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",6.39,10.23,-3.84,-5.06,-2.62,*,16,17
,11/16/2024 12:00:00 AM,11/16/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,6.28,6.4,-0.12,-1.8,1.55,,15,16
