Vaccine,Geographic Level,Geographic Name,Demographic_Level,Demographic Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
COVID,National,National,Urbanicity,Suburban (MSA Non-Principal City),4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,56.4233,5.3536,952,0
COVID,National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,58.6064,8.543,391,0
COVID,National,National,Urbanicity,Suburban (MSA Non-Principal City),4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,23.5263,4.5799,952,0
COVID,National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,11.9029,5.8798,391,0
COVID,National,National,Urbanicity,Suburban (MSA Non-Principal City),4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,11.0784,0.867,28288,0
COVID,National,National,Poverty Status,"Above Poverty, Income < $75k",Up-to-date,Yes,December Week 4,2024-12-28,6.492,1.0592,11212,0
COVID,National,National,Urbanicity,Urban MSA Principal City,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,38.3197,7.4824,620,0
COVID,National,National,Poverty Status,"Above Poverty, Income >= $75k",4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,14.4906,1.0439,26352,0
COVID,Region,Region 1,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,20.7351,3.1778,4890,0
COVID,National,National,Poverty Status,"Above Poverty, Income >= $75k",4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,8.6908,2.5766,915,0
COVID,Region,Region 10,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,25.2573,9.4993,140,0
COVID,National,National,Poverty Status,Below Poverty,Up-to-date,Yes,December Week 4,2024-12-28,6.5289,1.2537,7809,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,9.0846,1.6197,3160,0
