COVID-19_Season,Doses,Cumulative_Doses,Age_Group
2023-2024,93,93,18+
2023-2024,59,59,18-49
2023-2024,85,85,18-64
2023-2024,26,26,50-64
2023-2024,7,7,60-74
2023-2024,8,8,65+
2023-2024,4,4,75+
2023-2024,12664,12757,18+
2023-2024,3819,3878,18-49
2023-2024,7019,7104,18-64
2023-2024,3200,3226,50-64
2023-2024,4096,4103,60-74
2023-2024,5646,5654,65+
2023-2024,2975,2979,75+
2023-2024,42494,55251,18+
2023-2024,13237,17115,18-49
2023-2024,25732,32836,18-64
2023-2024,12495,15721,50-64
2023-2024,14141,18244,60-74
2023-2024,16762,22416,65+
2023-2024,7913,10892,75+
2023-2024,83629,138880,18+
2023-2024,23867,40982,18-49
2023-2024,48473,81309,18-64
2023-2024,24606,40327,50-64
2023-2024,29498,47742,60-74
2023-2024,35155,57571,65+
2023-2024,16403,27295,75+
2023-2024,131066,269946,18+
2023-2024,38043,79025,18-49
2023-2024,74547,155856,18-64
2023-2024,36505,76832,50-64
2023-2024,43934,91676,60-74
2023-2024,56518,114089,65+
2023-2024,28611,55906,75+
2023-2024,189624,459570,18+
2023-2024,52597,131622,18-49
2023-2024,101573,257429,18-64
2023-2024,48976,125808,50-64
2023-2024,60183,151859,60-74
2023-2024,88051,202140,65+
2023-2024,49081,104987,75+
2023-2024,208519,668089,18+
2023-2024,57884,189506,18-49
2023-2024,111865,369294,18-64
2023-2024,53981,179789,50-64
2023-2024,65821,217680,60-74
2023-2024,96653,298793,65+
2023-2024,53797,158784,75+
2023-2024,191775,859864,18+
2023-2024,55905,245411,18-49
2023-2024,109217,478511,18-64
2023-2024,53312,233101,50-64
2023-2024,63934,281614,60-74
2023-2024,82557,381350,65+
2023-2024,41594,200378,75+
2023-2024,186352,1046216,18+
2023-2024,56862,302273,18-49
2023-2024,109305,587816,18-64
2023-2024,52443,285544,50-64
2023-2024,61994,343608,60-74
2023-2024,77047,458397,65+
2023-2024,37562,237940,75+
2023-2024,175668,1221884,18+
2023-2024,54067,356340,18-49
2023-2024,103525,691341,18-64
2023-2024,49458,335002,50-64
2023-2024,60711,404319,60-74
2023-2024,72143,530540,65+
2023-2024,33501,271441,75+
2023-2024,102225,1324109,18+
2023-2024,37376,393716,18-49
2023-2024,65996,757337,18-64
2023-2024,28620,363622,50-64
2023-2024,31259,435578,60-74
2023-2024,36229,566769,65+
2023-2024,16915,288356,75+
2023-2024,141610,1465719,18+
2023-2024,45948,439664,18-49
2023-2024,87587,844924,18-64
2023-2024,41639,405261,50-64
