Connecticut,Region 1,Counts 1-9,Unnamed: 3,Unnamed: 4,84,1.7,13213,270.9,1.3%,-5.6%,3.7,-0.8,4.8,5.6,7571.0,18871.0,34372.0
Delaware,Region 3,Counts 1-9,,,38,2.8,3821,286.4,1.5%,24.4%,5.0,0.3,4.9,5.1,5799.0,11303.0,22004.0
District of Columbia,Region 3,0,,0.0,0,0,1971,296.4,0.8%,-4.1%,5.0,0.3,4.9,5.1,5799.0,11303.0,22004.0
Federated States of Micronesia,,Data not available,,,Data not available,Data not available,Data not available,Data not available,,,,,,,,,
Florida,Region 4,0.8,0.0,0.0,323,1,85501,265.5,0.6%,-11.8%,3.8,0.5,3.7,3.7,7528.0,19815.0,35878.0
Georgia,Region 4,Counts 1-9,,,140,1.3,38277,335.9,0.9%,21.3%,3.8,0.5,3.7,3.7,7528.0,19815.0,35878.0
Guam,,Data not available,,,Data not available,Data not available,Data not available,Data not available,0.1%,-65.3%,,,,,,,
Hawaii,Region 9,0,,0.0,10,Not Calculated (<20 deaths),2273,112.6,0.4%,-14.0%,2.9,-0.1,3.0,3.2,2161.0,8454.0,17878.0
Idaho,Region 10,0,,,29,1.4,5898,280,0.9%,20.1%,6.9,0.0,5.9,5.5,8677.0,16524.0,37206.0
Illinois,Region 5,0.9,-50.0,-0.9,307,2,42999,279.9,1.5%,0.5%,5.4,-0.4,6.1,7.1,43155.0,87306.0,169810.0
Indiana,Region 5,Counts 1-9,,,274,3.5,27908,351.7,1.3%,-0.4%,5.4,-0.4,6.1,7.1,43155.0,87306.0,169810.0
Iowa,Region 7,Counts 1-9,,,102,2.5,12022,291.2,1.2%,-14.4%,5.1,-0.4,6.0,6.4,11981.0,24711.0,43637.0
Kansas,Region 7,Counts 1-9,,,99,2.8,11314,320.2,1.1%,22.7%,5.1,-0.4,6.0,6.4,11981.0,24711.0,43637.0
Kentucky,Region 4,Counts 1-9,,,217,4.2,21961,409.4,1.7%,11.0%,3.8,0.5,3.7,3.7,7528.0,19815.0,35878.0
Louisiana,Region 6,Counts 1-9,,,50,0.9,18599,348.1,0.9%,-0.0%,3.4,0.4,3.1,3.5,15132.0,33261.0,61663.0
Maine,Region 1,Counts 1-9,,,76,3.8,3814,190.7,0.8%,-35.0%,3.7,-0.8,4.8,5.6,7571.0,18871.0,34372.0
Maryland,Region 3,2.8,,,180,2.5,19829,271.8,1.3%,9.9%,5.0,0.3,4.9,5.1,5799.0,11303.0,22004.0
Massachusetts,Region 1,Counts 1-9,,,215,2.4,22750,255.8,0.8%,-26.9%,3.7,-0.8,4.8,5.6,7571.0,18871.0,34372.0
Michigan,Region 5,1.7,-19.0,-0.4,390,3.1,40473,318.3,1.3%,-18.9%,5.4,-0.4,6.1,7.1,43155.0,87306.0,169810.0
Minnesota,Region 5,1.4,-54.8,-1.7,221,3.2,17157,248.2,,,5.4,-0.4,6.1,7.1,43155.0,87306.0,169810.0
Mississippi,Region 4,Counts 1-9,,,115,3.3,15995,461.9,1.1%,-4.7%,3.8,0.5,3.7,3.7,7528.0,19815.0,35878.0
Missouri,Region 7,Counts 1-9,,,182,2.3,24085,310.6,,,5.1,-0.4,6.0,6.4,11981.0,24711.0,43637.0
Montana,Region 8,Counts 1-9,,,24,1.8,4162,289.2,0.8%,-2.2%,3.6,0.0,4.3,4.8,5392.0,9125.0,18641.0
