Characteristics of Influenza-Associated Pediatric Deaths (data downloaded on 3/7/2025)
SEASON,CHARACTERISTIC,GROUP,COUNT,PERCENT
2004-05,AgeGroup,0-5 mo,9,19.1
2004-05,AgeGroup,6-23 mo,5,10.6
2004-05,AgeGroup,2-4 yr,8,17
2004-05,AgeGroup,5-11 yr,15,31.9
2004-05,AgeGroup,12-17 yr,10,21.3
2004-05,Sex,Male,26,55.3
2004-05,Sex,Female,21,44.7
2004-05,Conditions,Yes       ,30,66.7
2004-05,Conditions,No        ,15,33.3
2004-05,Bacterial Coinfectio,Yes       ,4,100
2004-05,OnsetToDeath,0,6,12.8
2004-05,OnsetToDeath,1,1,2.1
2004-05,OnsetToDeath,2,6,12.8
2004-05,OnsetToDeath,3,7,14.9
2004-05,OnsetToDeath,4,4,8.5
2004-05,OnsetToDeath,5,4,8.5
2004-05,OnsetToDeath,6,1,2.1
2004-05,OnsetToDeath,7,4,8.5
2004-05,OnsetToDeath,9,2,4.3
2004-05,OnsetToDeath,10,1,2.1
2004-05,OnsetToDeath,13,2,4.3
2004-05,OnsetToDeath,14,1,2.1
2004-05,OnsetToDeath,15,1,2.1
2004-05,OnsetToDeath,16,1,2.1
2004-05,OnsetToDeath,18,1,2.1
2004-05,OnsetToDeath,19,3,6.4
2004-05,OnsetToDeath,30+,2,4.3
2004-05,Location of Death,Outside Hospital,8,17
2004-05,Location of Death,Emergency Department,8,17
2004-05,Location of Death,Hospital Admitted,31,66
2005-06,AgeGroup,0-5 mo,8,17.4
2005-06,AgeGroup,6-23 mo,13,28.3
2005-06,AgeGroup,2-4 yr,5,10.9
2005-06,AgeGroup,5-11 yr,13,28.3
2005-06,AgeGroup,12-17 yr,7,15.2
2005-06,Sex,Male,27,58.7
2005-06,Sex,Female,19,41.3
2005-06,Conditions,Yes       ,20,52.6
2005-06,Conditions,No        ,18,47.4
2005-06,Bacterial Coinfectio,Yes       ,4,80
2005-06,Bacterial Coinfectio,No        ,1,20
2005-06,OnsetToDeath,0,5,10.9
2005-06,OnsetToDeath,1,8,17.4
2005-06,OnsetToDeath,2,8,17.4
2005-06,OnsetToDeath,3,4,8.7
2005-06,OnsetToDeath,4,3,6.5
2005-06,OnsetToDeath,5,3,6.5
2005-06,OnsetToDeath,6,3,6.5
2005-06,OnsetToDeath,7,1,2.2
2005-06,OnsetToDeath,11,2,4.3
2005-06,OnsetToDeath,12,1,2.2
2005-06,OnsetToDeath,13,1,2.2
2005-06,OnsetToDeath,14,2,4.3
2005-06,OnsetToDeath,15,1,2.2
2005-06,OnsetToDeath,20,1,2.2
2005-06,OnsetToDeath,27,1,2.2
2005-06,OnsetToDeath,30+,2,4.3
2005-06,Location of Death,Outside Hospital,9,20
2005-06,Location of Death,Emergency Department,12,26.7
2005-06,Location of Death,Hospital Admitted,24,53.3
2006-07,AgeGroup,0-5 mo,11,14.3
2006-07,AgeGroup,6-23 mo,10,13
2006-07,AgeGroup,2-4 yr,11,14.3
2006-07,AgeGroup,5-11 yr,30,39
2006-07,AgeGroup,12-17 yr,15,19.5
2006-07,Sex,Male,41,53.2
2006-07,Sex,Female,36,46.8
2006-07,Conditions,Yes       ,27,38
2006-07,Conditions,No        ,44,62
2006-07,Bacterial Coinfectio,Yes       ,25,75.8
2006-07,Bacterial Coinfectio,No        ,8,24.2
2006-07,OnsetToDeath,0,6,7.8
2006-07,OnsetToDeath,1,5,6.5
2006-07,OnsetToDeath,2,11,14.3
2006-07,OnsetToDeath,3,8,10.4
2006-07,OnsetToDeath,4,10,13
2006-07,OnsetToDeath,5,9,11.7
2006-07,OnsetToDeath,6,3,3.9
2006-07,OnsetToDeath,7,4,5.2
2006-07,OnsetToDeath,8,4,5.2
2006-07,OnsetToDeath,9,2,2.6
2006-07,OnsetToDeath,10,1,1.3
2006-07,OnsetToDeath,14,2,2.6
2006-07,OnsetToDeath,15,1,1.3
2006-07,OnsetToDeath,18,1,1.3
2006-07,OnsetToDeath,19,2,2.6
2006-07,OnsetToDeath,22,2,2.6
2006-07,OnsetToDeath,23,1,1.3
2006-07,OnsetToDeath,24,1,1.3
2006-07,OnsetToDeath,30+,4,5.2
2006-07,Location of Death,Outside Hospital,19,24.7
2006-07,Location of Death,Emergency Department,14,18.2
2006-07,Location of Death,Hospital Admitted,44,57.1
2007-08,AgeGroup,0-5 mo,10,11.4
2007-08,AgeGroup,6-23 mo,14,15.9
2007-08,AgeGroup,2-4 yr,18,20.5
2007-08,AgeGroup,5-11 yr,27,30.7
2007-08,AgeGroup,12-17 yr,19,21.6
2007-08,Sex,Male,47,53.4
2007-08,Sex,Female,41,46.6
2007-08,Conditions,Yes       ,42,51.2
2007-08,Conditions,No        ,40,48.8
2007-08,Bacterial Coinfectio,Yes       ,15,32.6
2007-08,Bacterial Coinfectio,No        ,31,67.4
2007-08,OnsetToDeath,0,3,3.4
2007-08,OnsetToDeath,1,10,11.4
2007-08,OnsetToDeath,2,12,13.6
2007-08,OnsetToDeath,3,10,11.4
2007-08,OnsetToDeath,4,11,12.5
2007-08,OnsetToDeath,5,6,6.8
2007-08,OnsetToDeath,6,5,5.7
2007-08,OnsetToDeath,7,6,6.8
2007-08,OnsetToDeath,8,4,4.5
2007-08,OnsetToDeath,9,2,2.3
2007-08,OnsetToDeath,10,1,1.1
2007-08,OnsetToDeath,11,1,1.1
2007-08,OnsetToDeath,12,1,1.1
2007-08,OnsetToDeath,14,2,2.3
2007-08,OnsetToDeath,17,2,2.3
2007-08,OnsetToDeath,18,1,1.1
2007-08,OnsetToDeath,21,1,1.1
2007-08,OnsetToDeath,22,1,1.1
2007-08,OnsetToDeath,23,2,2.3
2007-08,OnsetToDeath,25,1,1.1
2007-08,OnsetToDeath,28,1,1.1
2007-08,OnsetToDeath,29,1,1.1
2007-08,OnsetToDeath,30+,4,4.5
2007-08,Location of Death,Outside Hospital,15,17
2007-08,Location of Death,Emergency Department,19,21.6
2007-08,Location of Death,Hospital Admitted,54,61.4
2008-09,AgeGroup,0-5 mo,12,8.8
2008-09,AgeGroup,6-23 mo,19,13.9
2008-09,AgeGroup,2-4 yr,14,10.2
2008-09,AgeGroup,5-11 yr,43,31.4
2008-09,AgeGroup,12-17 yr,49,35.8
2008-09,Sex,Male,69,50.4
2008-09,Sex,Female,68,49.6
2008-09,Conditions,Yes       ,70,53.4
2008-09,Conditions,No        ,61,46.6
2008-09,Bacterial Coinfectio,Yes       ,29,42
2008-09,Bacterial Coinfectio,No        ,40,58
2008-09,OnsetToDeath,0,4,2.9
2008-09,OnsetToDeath,1,6,4.4
2008-09,OnsetToDeath,2,14,10.3
2008-09,OnsetToDeath,3,10,7.4
2008-09,OnsetToDeath,4,18,13.2
2008-09,OnsetToDeath,5,13,9.6
2008-09,OnsetToDeath,6,12,8.8
2008-09,OnsetToDeath,7,8,5.9
2008-09,OnsetToDeath,8,6,4.4
2008-09,OnsetToDeath,9,3,2.2
2008-09,OnsetToDeath,10,2,1.5
2008-09,OnsetToDeath,11,6,4.4
