Characteristics of Influenza-Associated Pediatric Deaths, additional breakdown (data downloaded on 3/7/2025)
COUNT,PERCENT
14,31.1
17,37.8
2,4.4
4,8.9
5,11.1
1,2.2
1,25
1,25
3,75
12,31.6
9,23.7
7,18.4
2,5.3
2,5.3
1,2.6
1,2.6
1,25
1,25
1,25
3,75
13,18.3
9,12.7
5,7
4,5.6
3,4.2
2,2.8
1,1.4
1,1.4
1,1.4
4,16
11,44
1,4
5,20
11,44
23,28
18,22
7,8.5
7,8.5
2,2.4
1,1.2
1,1.2
2,2.4
4,26.7
9,60
1,6.7
2,13.3
3,20
46,35.1
36,27.5
15,11.5
18,13.7
12,9.2
10,7.6
3,2.3
1,0.8
1,0.8
8,27.6
9,31
1,3.4
3,10.3
1,3.4
9,31
115,40.8
94,33.3
47,16.7
36,12.8
29,10.3
27,9.6
8,2.8
13,4.6
11,3.9
15,5.3
4,9.1
12,27.3
1,2.3
11,25
3,6.8
14,31.8
33,27
19,15.6
14,11.5
11,9
4,3.3
5,4.1
3,2.5
2,1.6
3,2.5
1,0.8
4,3.3
2,7.4
7,25.9
1,3.7
6,22.2
4,14.8
10,37
9,26.5
10,29.4
3,8.8
6,17.6
2,5.9
1,2.9
2,5.9
2,33.3
2,33.3
2,33.3
46,28
41,25
17,10.4
20,12.2
8,4.9
13,7.9
4,2.4
7,4.3
2,1.2
11,25
8,18.2
5,11.4
11,25
5,11.4
13,29.5
37,34.3
24,22.2
15,13.9
11,10.2
5,4.6
5,4.6
2,1.9
1,0.9
1,0.9
1,0.9
4,17.4
1,4.3
3,13
6,26.1
9,39.1
27,18.8
18,12.5
20,13.9
12,8.3
7,4.9
9,6.3
3,2.1
4,2.8
3,2.1
2,1.4
1,2.6
9,23.1
6,15.4
3,7.7
4,10.3
16,41
24,26.4
20,22
5,5.5
16,17.6
4,4.4
3,3.3
4,4.4
1,1.1
2,10
2,10
3,15
5,25
5,25
11,55
23,23.2
21,21.2
8,8.1
6,6.1
5,5.1
4,4
1,1
4,4
2,2
2,7.7
6,23.1
5,19.2
6,23.1
4,15.4
10,38.5
47,27.8
37,21.9
21,12.4
15,8.9
7,4.1
9,5.3
1,0.6
5,3
5,3
2,1.2
4,12.1
8,24.2
2,6.1
7,21.2
4,12.1
15,45.5
40,30.1
23,17.3
13,9.8
12,9
2,1.5
3,2.3
1,0.8
3,2.3
6,4.5
4,3
5,17.2
5,17.2
3,10.3
7,24.1
6,20.7
11,37.9
50,27.3
23,12.6
14,7.7
19,10.4
6,3.3
2,1.1
2,1.1
8,4.4
4,2.2
1,0.5
3,8.3
4,11.1
7,19.4
7,19.4
12,33.3
10,27.8
14,30.4
8,17.4
9,19.6
6,13
2,4.3
3,6.5
1,2.2
1,2.2
2,4.3
1,14.3
2,28.6
4,57.1
47,27
35,20.1
13,7.5
12,6.9
5,2.9
14,8
1,0.6
5,2.9
4,2.3
3,8.3
3,8.3
1,2.8
5,13.9
15,41.7
14,38.9
59,30.1
35,17.9
21,10.7
17,8.7
7,3.6
14,7.1
1,0.5
3,1.5
5,2.6
3,1.5
4,8.5
3,6.4
5,10.6
9,19.1
19,40.4
12,25.5
28,29.8
12,12.8
16,17
8,8.5
3,3.2
6,6.4
1,1.1
1,1.1
4,4.3
2,2.1
1,7.7
1,7.7
1,7.7
1,7.7
3,23.1
7,53.8
