"National Healthcare Safety Network (NHSN) Hospital Respiratory Data (downloaded on "Mar-06-2025)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Measure,Region,RegionDescription,Measure_Value
202140,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.08
202140,2021-22,Influenza Hospital Admissions,,National,250
202140,2021-22,Influenza Hospitalization (Avg 7 Day),,National,244.86
202140,2021-22,Average patients with influenza in ICU,,National,48.57
202148,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.24
202148,2021-22,Influenza Hospital Admissions,,National,804
202148,2021-22,Influenza Hospitalization (Avg 7 Day),,National,551.57
202148,2021-22,Average patients with influenza in ICU,,National,80.43
202149,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.3
202149,2021-22,Influenza Hospital Admissions,,National,1007
202149,2021-22,Influenza Hospitalization (Avg 7 Day),,National,744.71
202149,2021-22,Average patients with influenza in ICU,,National,114.29
202205,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.28
202205,2021-22,Influenza Hospital Admissions,,National,913
202205,2021-22,Influenza Hospitalization (Avg 7 Day),,National,760.86
202205,2021-22,Average patients with influenza in ICU,,National,131.43
202212,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.85
202212,2021-22,Influenza Hospital Admissions,,National,2826
202212,2021-22,Influenza Hospitalization (Avg 7 Day),,National,1713.57
202212,2021-22,Average patients with influenza in ICU,,National,223.86
202213,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.88
202213,2021-22,Influenza Hospital Admissions,,National,2927
202213,2021-22,Influenza Hospitalization (Avg 7 Day),,National,1819.71
202213,2021-22,Average patients with influenza in ICU,,National,258.57
202221,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.81
202221,2021-22,Influenza Hospital Admissions,,National,2669
202221,2021-22,Influenza Hospitalization (Avg 7 Day),,National,2136.14
202221,2021-22,Average patients with influenza in ICU,,National,291.57
202231,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.14
202231,2021-22,Influenza Hospital Admissions,,National,476
202231,2021-22,Influenza Hospitalization (Avg 7 Day),,National,834.14
202231,2021-22,Average patients with influenza in ICU,,National,149.43
202232,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.14
202232,2021-22,Influenza Hospital Admissions,,National,472
202232,2021-22,Influenza Hospitalization (Avg 7 Day),,National,822
202232,2021-22,Average patients with influenza in ICU,,National,143.86
202222,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.78
202222,2021-22,Influenza Hospital Admissions,,National,2600
202222,2021-22,Influenza Hospitalization (Avg 7 Day),,National,2034.71
202222,2021-22,Average patients with influenza in ICU,,National,274.86
202223,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.63
202223,2021-22,Influenza Hospital Admissions,,National,2100
202223,2021-22,Influenza Hospitalization (Avg 7 Day),,National,1819.86
202223,2021-22,Average patients with influenza in ICU,,National,260.14
202233,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.14
202233,2021-22,Influenza Hospital Admissions,,National,475
202233,2021-22,Influenza Hospitalization (Avg 7 Day),,National,824.86
202233,2021-22,Average patients with influenza in ICU,,National,147.86
202224,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.51
202224,2021-22,Influenza Hospital Admissions,,National,1697
202224,2021-22,Influenza Hospitalization (Avg 7 Day),,National,1619.86
202224,2021-22,Average patients with influenza in ICU,,National,236.14
202234,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.14
202234,2021-22,Influenza Hospital Admissions,,National,462
202234,2021-22,Influenza Hospitalization (Avg 7 Day),,National,847
202234,2021-22,Average patients with influenza in ICU,,National,152
202150,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.37
202150,2021-22,Influenza Hospital Admissions,,National,1232
202150,2021-22,Influenza Hospitalization (Avg 7 Day),,National,885.43
202150,2021-22,Average patients with influenza in ICU,,National,116.57
202206,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.32
202206,2021-22,Influenza Hospital Admissions,,National,1052
202206,2021-22,Influenza Hospitalization (Avg 7 Day),,National,804.43
202206,2021-22,Average patients with influenza in ICU,,National,135.43
202207,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.4
202207,2021-22,Influenza Hospital Admissions,,National,1342
202207,2021-22,Influenza Hospitalization (Avg 7 Day),,National,860
202207,2021-22,Average patients with influenza in ICU,,National,121.57
202214,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.93
202214,2021-22,Influenza Hospital Admissions,,National,3083
202214,2021-22,Influenza Hospitalization (Avg 7 Day),,National,2017
202214,2021-22,Average patients with influenza in ICU,,National,270.43
202235,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.16
202235,2021-22,Influenza Hospital Admissions,,National,517
202235,2021-22,Influenza Hospitalization (Avg 7 Day),,National,875.43
202235,2021-22,Average patients with influenza in ICU,,National,149.71
202236,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.17
202236,2021-22,Influenza Hospital Admissions,,National,548
202236,2021-22,Influenza Hospitalization (Avg 7 Day),,National,891.86
202236,2021-22,Average patients with influenza in ICU,,National,153.43
202237,2021-22,Influenza Hospital Admissions Rate Per 100k,,National,0.19
202237,2021-22,Influenza Hospital Admissions,,National,643
202237,2021-22,Influenza Hospitalization (Avg 7 Day),,National,933.86
202237,2021-22,Average patients with influenza in ICU,,National,155.29
