"National Healthcare Safety Network (NHSN) Hospital Respiratory Data (downloaded on "Mar-06-2025)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Measure,Region,RegionDescription,Measure_Value
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.4
202301,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,2.72
202323,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.13
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.25
202335,2022-23,Influenza Hospital Admissions,3,HHS Region,77
202335,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,61.14
202335,2022-23,Average patients with influenza in ICU,3,HHS Region,9.86
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.48
202335,2022-23,Influenza Hospital Admissions,4,HHS Region,321
202335,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,287
202335,2022-23,Average patients with influenza in ICU,4,HHS Region,109.29
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.08
202335,2022-23,Influenza Hospital Admissions,5,HHS Region,41
202335,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,60.71
202335,2022-23,Average patients with influenza in ICU,5,HHS Region,5.43
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.38
202335,2022-23,Influenza Hospital Admissions,6,HHS Region,164
202335,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,86.86
202335,2022-23,Average patients with influenza in ICU,6,HHS Region,12.71
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.1
202335,2022-23,Influenza Hospital Admissions,7,HHS Region,14
202335,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,11.57
202335,2022-23,Average patients with influenza in ICU,7,HHS Region,2.57
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.04
202335,2022-23,Influenza Hospital Admissions,8,HHS Region,5
202335,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,6
202335,2022-23,Average patients with influenza in ICU,8,HHS Region,0.29
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.12
202335,2022-23,Influenza Hospital Admissions,9,HHS Region,63
202335,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,51.86
202335,2022-23,Average patients with influenza in ICU,9,HHS Region,4.29
