AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2024-25,40,6.3,5.8,,5.7,6.7,34,"3,160",968,"3,771","56,364",> 100%
National,,All,2024-25,41,6.4,5.9,,5.7,6.4,26,"3,208",802,"3,679","57,120",> 100%
National,,All,2024-25,42,6.5,6,,5.7,6.5,29,"3,259",731,"3,708","57,420",> 100%
National,,All,2024-25,43,6.6,6.1,,5.7,6.4,24,"3,256",642,"3,665","57,655",> 100%
National,,All,2024-25,44,6.7,6.3,,5.6,6.3,37,"3,206",600,"3,600","57,483",> 100%
National,,All,2024-25,45,6.9,6.4,,5.4,6,35,"3,083",553,"3,456","57,557",> 100%
National,,All,2024-25,46,7,6.5,,5.5,6.1,30,"3,116",526,"3,462","56,828",> 100%
National,,All,2024-25,47,7.1,6.6,,5.6,6,54,"3,147",468,"3,475","57,445",> 100%
National,,All,2024-25,48,7.2,6.8,,5.7,6.2,67,"3,189",488,"3,536","57,123",> 100%
National,,All,2024-25,49,7.4,6.9,,6,6.4,83,"3,454",486,"3,819","59,216",> 100%
National,,All,2024-25,50,7.5,7,,6.2,6.7,152,"3,630",558,"4,109","61,166",> 100%
National,,All,2024-25,51,7.6,7.1,,6.6,7.2,214,"3,786",578,"4,337","60,336",> 100%
National,,All,2024-25,52,7.7,7.2,,6.6,7.2,388,"3,680",657,"4,426","61,868",> 100%
National,,All,2024-25,1,7.7,7.3,,7.8,8.7,709,"4,222",871,"5,439","62,837",> 100%
National,,All,2024-25,2,7.8,7.3,,8.2,9.1,899,"4,457","1,009","5,933","65,055",> 100%
National,,All,2024-25,3,7.9,7.4,,8.5,9.3,910,"4,539",969,"5,984","64,134",> 100%
National,,All,2024-25,4,7.9,7.4,,8.5,9.3,"1,047","4,309",893,"5,846","62,824",> 100%
National,,All,2024-25,5,7.9,7.5,,8.6,9.4,"1,283","4,068",850,"5,855","62,021",> 100%
National,,All,2024-25,6,7.9,7.5,,9.3,10,"1,416","3,711",656,"5,478","54,924",> 100%
National,,All,2024-25,7,7.9,7.5,,9.2,9.8,"1,281","2,839",497,"4,387","44,784",94.1%
National,,All,2024-25,8,7.9,7.4,,9.4,10.1,708,"1,698",283,"2,577","25,527",53.7%
National,,All,2023-24,40,6,5.6,,5.8,7.3,28,"3,335","1,398","4,235","58,057",> 100%
National,,All,2023-24,41,6.1,5.7,,5.9,7.3,36,"3,438","1,315","4,273","58,402",> 100%
National,,All,2023-24,42,6.2,5.8,,5.9,7.4,54,"3,402","1,393","4,329","58,504",> 100%
National,,All,2023-24,43,6.4,5.9,,6.1,7.5,47,"3,532","1,292","4,378","58,493",> 100%
National,,All,2023-24,44,6.5,6,,5.8,7.2,63,"3,354","1,246","4,220","58,980",> 100%
National,,All,2023-24,45,6.6,6.2,,6.2,7.7,72,"3,687","1,394","4,634","60,306",> 100%
National,,All,2023-24,46,6.7,6.3,,6.3,7.8,81,"3,660","1,431","4,636","59,769",> 100%
National,,All,2023-24,47,6.9,6.4,,6.4,7.9,114,"3,704","1,424","4,674","59,374",> 100%
National,,All,2023-24,48,7,6.5,,6.9,8.6,157,"4,106","1,731","5,360","62,008",> 100%
National,,All,2023-24,49,7.1,6.7,,7,8.8,205,"4,226","1,793","5,579","63,364",> 100%
National,,All,2023-24,50,7.2,6.8,,7.2,9,286,"4,213","1,845","5,634","62,799",> 100%
National,,All,2023-24,51,7.3,6.9,,7.4,9.3,455,"4,342","1,936","5,994","64,421",> 100%
National,,All,2023-24,52,7.4,7,,8.3,10.3,699,"4,706","2,231","6,752","65,280",> 100%
National,,All,2023-24,1,7.5,7,,9.1,11.3,908,"5,195","2,494","7,601","67,001",> 100%
National,,All,2023-24,2,7.6,7.1,,9,11.2,857,"5,286","2,584","7,651","68,170",> 100%
National,,All,2023-24,3,7.6,7.2,,8.5,10.6,722,"4,960","2,365","7,087","66,744",> 100%
National,,All,2023-24,4,7.7,7.2,,8.3,10.3,617,"4,876","2,134","6,780","66,080",> 100%
National,,All,2023-24,5,7.7,7.2,,7.6,9.3,541,"4,231","1,744","5,807","62,710",> 100%
National,,All,2023-24,6,7.7,7.2,,7.4,9,458,"4,176","1,620","5,588","62,234",> 100%
National,,All,2023-24,7,7.7,7.2,,7.3,8.6,463,"3,970","1,390","5,265","61,052",> 100%
National,,All,2023-24,8,7.7,7.2,,7.1,8.3,410,"3,956","1,325","5,141","61,657",> 100%
National,,All,2023-24,9,7.6,7.2,,7.3,8.5,398,"4,015","1,267","5,166","60,731",> 100%
National,,All,2023-24,10,7.6,7.1,,7,8.1,403,"3,814","1,102","4,884","60,312",> 100%
National,,All,2023-24,11,7.5,7.1,,6.6,7.7,335,"3,643","1,041","4,609","59,820",> 100%
National,,All,2023-24,12,7.5,7,,6.6,7.5,265,"3,619",850,"4,386","58,441",> 100%
National,,All,2023-24,13,7.4,6.9,,6.6,7.3,236,"3,624",737,"4,305","58,709",> 100%
National,,All,2023-24,14,7.3,6.8,,6.4,7,202,"3,567",631,"4,140","58,728",> 100%
National,,All,2023-24,15,7.2,6.7,,6.5,7.1,202,"3,625",570,"4,164","58,992",> 100%
National,,All,2023-24,16,7.1,6.6,,6,6.5,163,"3,301",499,"3,775","57,721",> 100%
National,,All,2023-24,17,7,6.5,,6,6.4,109,"3,309",427,"3,685","57,262",> 100%
National,,All,2023-24,18,6.8,6.4,,5.8,6.2,86,"3,200",426,"3,541","56,999",> 100%
National,,All,2023-24,19,6.7,6.3,,5.9,6.2,101,"3,240",335,"3,524","56,805",> 100%
National,,All,2023-24,20,6.6,6.2,,5.7,6.1,62,"3,186",340,"3,457","56,495",> 100%
National,,All,2023-24,21,6.5,6,,5.6,5.9,49,"3,091",344,"3,349","56,365",> 100%
National,,All,2023-24,22,6.4,5.9,,5.5,5.9,46,"3,043",326,"3,298","55,708",> 100%
National,,All,2023-24,23,6.3,5.8,,5.7,6,50,"3,205",314,"3,434","56,847",> 100%
National,,All,2023-24,24,6.2,5.7,,5.5,5.9,41,"3,088",366,"3,337","56,388",> 100%
National,,All,2023-24,25,6.1,5.6,,5.5,6,45,"3,061",432,"3,351","56,073",> 100%
National,,All,2023-24,26,6,5.5,,5.3,5.8,29,"2,998",443,"3,307","56,624",> 100%
National,,All,2023-24,27,5.9,5.5,,5.5,6.1,33,"3,072",531,"3,431","56,273",> 100%
National,,All,2023-24,28,5.9,5.4,,5.5,6.1,43,"3,074",591,"3,436","56,197",> 100%
National,,All,2023-24,29,5.8,5.3,,5.5,6.3,36,"3,006",731,"3,490","55,619",> 100%
National,,All,2023-24,30,5.8,5.3,,5.7,6.6,20,"3,168",859,"3,672","55,832",> 100%
National,,All,2023-24,31,5.8,5.3,,5.6,6.7,34,"3,159",978,"3,765","56,525",> 100%
National,,All,2023-24,32,5.8,5.3,,5.7,6.8,29,"3,151","1,062","3,801","56,210",> 100%
National,,All,2023-24,33,5.8,5.3,,5.7,6.8,24,"3,187","1,079","3,833","56,446",> 100%
National,,All,2023-24,34,5.8,5.3,,5.6,7,34,"3,145","1,249","3,944","56,352",> 100%
National,,All,2023-24,35,5.8,5.4,,5.7,7.2,35,"3,171","1,353","4,059","56,382",> 100%
National,,All,2023-24,36,5.9,5.4,,5.8,7.1,29,"3,237","1,224","4,010","56,233",> 100%
National,,All,2023-24,37,6,5.5,,5.7,7,22,"3,206","1,238","3,964","56,819",> 100%
National,,All,2023-24,38,6.1,5.6,,5.9,7,40,"3,261","1,102","3,943","56,285",> 100%
National,,All,2023-24,39,6.2,5.7,,5.8,6.9,34,"3,242","1,029","3,876","56,369",> 100%
National,,All,2022-23,40,5.9,5.4,,6,8.5,28,"3,544","2,196","5,036","59,545",> 100%
National,,All,2022-23,41,6,5.5,,6.1,8.5,56,"3,561","2,150","5,087","59,717",> 100%
National,,All,2022-23,42,6.1,5.7,,6.5,8.9,57,"3,833","2,234","5,343","60,078",> 100%
National,,All,2022-23,43,6.2,5.8,,6.3,8.7,96,"3,665","2,243","5,240","60,012",> 100%
National,,All,2022-23,44,6.3,5.9,,6.5,8.9,156,"3,780","2,254","5,406","61,008",> 100%
National,,All,2022-23,45,6.4,6,,6.7,9.1,228,"3,858","2,203","5,574","61,033",> 100%
National,,All,2022-23,46,6.6,6.1,,6.8,9.3,258,"3,953","2,266","5,710","61,607",> 100%
National,,All,2022-23,47,6.7,6.2,,7.3,9.8,430,"4,311","2,502","6,356","64,611",> 100%
National,,All,2022-23,48,6.8,6.4,,8.4,10.9,851,"4,653","2,600","7,153","65,760",> 100%
National,,All,2022-23,49,6.9,6.5,,9,11.8,"1,029","4,977","3,036","7,906","67,000",> 100%
National,,All,2022-23,50,7,6.6,,9,12.1,"1,050","4,944","3,206","8,004","66,387",> 100%
National,,All,2022-23,51,7.1,6.7,,8.8,11.8,954,"4,995","3,333","8,024","67,950",> 100%
