AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
Region,Region 1,All,2024-25,40,6.5,5.8,,6.1,7.8,0,157,60,201,"2,562",> 100%
Region,Region 1,All,2024-25,41,6.6,5.9,,6.4,7.1,1,161,42,180,"2,542",> 100%
Region,Region 1,All,2024-25,42,6.8,6,,6.6,7.6,0,174,48,202,"2,641",> 100%
Region,Region 1,All,2024-25,43,6.9,6.2,,6.3,6.8,1,168,28,184,"2,687",> 100%
Region,Region 1,All,2024-25,44,7,6.3,,6,7.2,1,158,41,189,"2,638",> 100%
Region,Region 1,All,2024-25,45,7.1,6.4,,5.8,6.5,2,155,33,176,"2,715",> 100%
Region,Region 1,All,2024-25,46,7.3,6.6,,5.7,6.3,2,150,30,168,"2,667",> 100%
Region,Region 1,All,2024-25,47,7.4,6.7,,5.8,6.4,2,157,23,177,"2,746",> 100%
Region,Region 1,All,2024-25,48,7.6,6.8,,5.5,6.3,0,140,31,162,"2,554",> 100%
Region,Region 1,All,2024-25,49,7.7,7,,6.8,7.7,4,177,35,205,"2,656",> 100%
Region,Region 1,All,2024-25,50,7.8,7.1,,6,6.8,4,161,29,186,"2,731",> 100%
Region,Region 1,All,2024-25,51,7.9,7.2,,6.6,7.4,2,180,31,204,"2,763",> 100%
Region,Region 1,All,2024-25,52,8,7.3,,6.2,7.2,6,169,45,202,"2,802",> 100%
Region,Region 1,All,2024-25,1,8.1,7.4,,7.3,8.3,23,191,43,244,"2,930",> 100%
Region,Region 1,All,2024-25,2,8.2,7.5,,7.7,9,33,203,63,277,"3,077",> 100%
Region,Region 1,All,2024-25,3,8.3,7.5,,8.5,9.6,38,220,55,294,"3,050",> 100%
Region,Region 1,All,2024-25,4,8.3,7.6,,8.9,10,53,229,68,317,"3,179",> 100%
Region,Region 1,All,2024-25,5,8.4,7.6,,9.1,10.6,77,206,59,329,"3,116",> 100%
Region,Region 1,All,2024-25,6,8.4,7.7,,9.4,10.1,77,195,36,294,"2,909",> 100%
Region,Region 1,All,2024-25,7,8.4,7.7,,10.4,10.9,94,188,34,296,"2,718",> 100%
Region,Region 1,All,2024-25,8,8.4,7.7,,10.3,10.9,73,129,16,212,"1,952",> 100%
Region,Region 2,All,2024-25,40,7.4,6.8,,6.2,7.2,2,262,73,307,"4,258",> 100%
Region,Region 2,All,2024-25,41,7.5,6.9,,6.4,7.3,2,284,62,326,"4,444",> 100%
Region,Region 2,All,2024-25,42,7.6,7,,6.5,7.3,1,289,55,325,"4,439",> 100%
Region,Region 2,All,2024-25,43,7.7,7.1,,7.3,8.1,0,335,64,372,"4,590",> 100%
Region,Region 2,All,2024-25,44,7.8,7.2,,7.2,8,1,323,62,359,"4,506",> 100%
Region,Region 2,All,2024-25,45,7.9,7.3,,6.4,7.2,1,280,52,317,"4,392",> 100%
Region,Region 2,All,2024-25,46,8,7.4,,6.9,7.5,2,301,39,329,"4,387",> 100%
Region,Region 2,All,2024-25,47,8.1,7.5,,6.5,7,3,284,40,311,"4,413",> 100%
Region,Region 2,All,2024-25,48,8.2,7.6,,6.3,6.7,3,274,29,291,"4,372",> 100%
Region,Region 2,All,2024-25,49,8.3,7.7,,6.1,6.4,4,283,24,300,"4,670",> 100%
Region,Region 2,All,2024-25,50,8.4,7.8,,6.6,7.1,13,297,34,331,"4,670",> 100%
Region,Region 2,All,2024-25,51,8.5,7.9,,7.4,8,14,329,38,371,"4,658",> 100%
Region,Region 2,All,2024-25,52,8.6,8,,7.8,8.5,29,343,57,407,"4,761",> 100%
Region,Region 2,All,2024-25,1,8.7,8.1,,8.7,9.7,61,375,79,488,"5,022",> 100%
Region,Region 2,All,2024-25,2,8.7,8.1,,9.3,10.6,78,393,105,540,"5,083",> 100%
Region,Region 2,All,2024-25,3,8.8,8.2,,9.4,10.3,89,333,64,462,"4,493",> 100%
Region,Region 2,All,2024-25,4,8.8,8.2,,9.2,10.3,64,309,77,419,"4,059",> 100%
Region,Region 2,All,2024-25,5,8.8,8.2,,9.2,10.4,92,306,89,451,"4,334",> 100%
Region,Region 2,All,2024-25,6,8.8,8.2,,10.9,11.6,119,316,64,465,"3,998",> 100%
Region,Region 2,All,2024-25,7,8.8,8.2,,10.1,10.8,101,264,45,388,"3,602",> 100%
Region,Region 2,All,2024-25,8,8.7,8.1,,10,10.8,65,232,40,322,"2,981",> 100%
Region,Region 3,All,2024-25,40,6.1,5.5,,5.9,7.5,4,318,143,413,"5,485",> 100%
Region,Region 3,All,2024-25,41,6.2,5.6,,5.7,6.6,1,325,89,375,"5,712",> 100%
Region,Region 3,All,2024-25,42,6.3,5.7,,5.7,6.7,3,333,87,391,"5,866",> 100%
Region,Region 3,All,2024-25,43,6.4,5.8,,5.9,6.9,1,343,77,398,"5,794",> 100%
Region,Region 3,All,2024-25,44,6.6,5.9,,6.3,7.2,0,361,90,417,"5,768",> 100%
Region,Region 3,All,2024-25,45,6.7,6,,5.6,6.3,2,326,81,371,"5,847",> 100%
Region,Region 3,All,2024-25,46,6.8,6.2,,5.1,5.7,2,293,67,331,"5,782",> 100%
Region,Region 3,All,2024-25,47,6.9,6.3,,5.1,5.9,2,289,67,334,"5,704",> 100%
Region,Region 3,All,2024-25,48,7,6.4,,5.6,6.1,4,316,61,348,"5,735",> 100%
Region,Region 3,All,2024-25,49,7.1,6.5,,5.8,6.2,5,342,51,371,"5,986",> 100%
Region,Region 3,All,2024-25,50,7.2,6.6,,6.2,6.7,12,380,57,424,"6,313",> 100%
Region,Region 3,All,2024-25,51,7.3,6.7,,6.8,7.3,22,396,59,451,"6,139",> 100%
Region,Region 3,All,2024-25,52,7.4,6.8,,6.1,6.8,25,363,78,435,"6,372",> 100%
Region,Region 3,All,2024-25,1,7.5,6.8,,7.4,8.4,59,408,108,533,"6,349",> 100%
Region,Region 3,All,2024-25,2,7.5,6.9,,7.9,9.1,84,448,128,610,"6,705",> 100%
Region,Region 3,All,2024-25,3,7.6,6.9,,8.2,9.4,84,468,132,632,"6,713",> 100%
Region,Region 3,All,2024-25,4,7.6,7,,8.3,9.4,122,421,113,615,"6,531",> 100%
Region,Region 3,All,2024-25,5,7.6,7,,9,9.9,124,468,104,648,"6,561",> 100%
Region,Region 3,All,2024-25,6,7.6,7,,9.4,10.3,176,388,93,613,"5,972",> 100%
Region,Region 3,All,2024-25,7,7.6,7,,10,10.7,190,340,64,568,"5,324",> 100%
Region,Region 3,All,2024-25,8,7.6,6.9,,10.8,11.6,149,270,53,451,"3,885",> 100%
Region,Region 4,All,2024-25,40,6.5,6,,5.6,6.5,12,722,191,853,"13,148",> 100%
Region,Region 4,All,2024-25,41,6.6,6.1,,5.4,6,8,699,153,795,"13,169",> 100%
Region,Region 4,All,2024-25,42,6.8,6.2,,5.8,6.6,10,774,178,883,"13,467",> 100%
Region,Region 4,All,2024-25,43,6.9,6.3,,5.4,6,12,710,125,799,"13,287",> 100%
Region,Region 4,All,2024-25,44,7,6.5,,5.9,6.4,18,764,112,844,"13,155",> 100%
Region,Region 4,All,2024-25,45,7.1,6.6,,5.4,6.1,8,710,114,799,"13,199",> 100%
Region,Region 4,All,2024-25,46,7.2,6.7,,5.8,6.2,6,727,101,792,"12,689",> 100%
Region,Region 4,All,2024-25,47,7.3,6.8,,5.8,6.1,13,721,73,774,"12,758",> 100%
Region,Region 4,All,2024-25,48,7.4,6.9,,6,6.5,17,753,104,838,"12,835",> 100%
Region,Region 4,All,2024-25,49,7.5,7,,6.4,6.9,18,841,117,928,"13,408",> 100%
Region,Region 4,All,2024-25,50,7.6,7.1,,6.3,6.8,35,837,108,938,"13,787",> 100%
Region,Region 4,All,2024-25,51,7.7,7.2,,6.6,7,42,862,108,960,"13,662",> 100%
Region,Region 4,All,2024-25,52,7.8,7.2,,6.8,7.2,68,878,99,"1,000","13,822",> 100%
Region,Region 4,All,2024-25,1,7.8,7.3,,8,8.7,162,961,156,"1,213","14,014",> 100%
Region,Region 4,All,2024-25,2,7.9,7.4,,8.2,9,200,996,207,"1,314","14,633",> 100%
Region,Region 4,All,2024-25,3,7.9,7.4,,8.9,9.5,213,"1,095",175,"1,399","14,681",> 100%
Region,Region 4,All,2024-25,4,7.9,7.4,,9,9.6,232,"1,057",169,"1,374","14,285",> 100%
Region,Region 4,All,2024-25,5,8,7.4,,9,9.6,281,982,161,"1,348","14,091",> 100%
Region,Region 4,All,2024-25,6,7.9,7.4,,9.5,10,321,832,130,"1,222","12,181",> 100%
Region,Region 4,All,2024-25,7,7.9,7.4,,9.4,9.9,256,626,96,926,"9,340",> 100%
Region,Region 4,All,2024-25,8,7.9,7.3,,9.2,9.9,120,315,58,467,"4,711",87.9%
Region,Region 5,All,2024-25,40,5.6,5.1,,5.2,6.1,5,495,151,583,"9,616",> 100%
Region,Region 5,All,2024-25,41,5.7,5.2,,5.5,6.3,4,529,145,617,"9,776",> 100%
Region,Region 5,All,2024-25,42,5.8,5.3,,5,5.8,4,486,140,571,"9,844",> 100%
Region,Region 5,All,2024-25,43,5.9,5.4,,5.2,6,1,515,133,596,"9,980",> 100%
Region,Region 5,All,2024-25,44,6,5.5,,4.9,5.6,6,477,116,554,"9,860",> 100%
Region,Region 5,All,2024-25,45,6.1,5.6,,4.9,5.5,2,477,89,528,"9,683",> 100%
Region,Region 5,All,2024-25,46,6.2,5.7,,5.1,5.8,2,499,100,570,"9,799",> 100%
Region,Region 5,All,2024-25,47,6.3,5.8,,4.6,5.2,3,449,90,503,"9,738",> 100%
Region,Region 5,All,2024-25,48,6.4,5.9,,5.6,6.1,6,540,90,598,"9,804",> 100%
Region,Region 5,All,2024-25,49,6.5,6,,5.2,5.7,5,520,84,578,"10,089",> 100%
Region,Region 5,All,2024-25,50,6.6,6.1,,5.7,6.3,14,587,106,668,"10,527",> 100%
Region,Region 5,All,2024-25,51,6.7,6.2,,5.9,6.7,14,594,129,693,"10,325",> 100%
Region,Region 5,All,2024-25,52,6.8,6.3,,5.7,6.5,44,565,155,694,"10,679",> 100%
Region,Region 5,All,2024-25,1,6.9,6.4,,7.5,8.7,94,724,240,955,"10,938",> 100%
Region,Region 5,All,2024-25,2,6.9,6.4,,8.2,9.3,142,782,241,"1,055","11,336",> 100%
Region,Region 5,All,2024-25,3,7,6.5,,8.1,9.4,144,769,275,"1,059","11,209",> 100%
Region,Region 5,All,2024-25,4,7,6.5,,7.4,8.4,168,637,207,914,"10,938",> 100%
Region,Region 5,All,2024-25,5,7,6.5,,7.9,9.2,224,627,211,990,"10,714",> 100%
Region,Region 5,All,2024-25,6,7.1,6.5,,8.5,9.3,264,561,136,901,"9,684",> 100%
Region,Region 5,All,2024-25,7,7,6.5,,8.8,9.7,257,446,112,775,"8,014",> 100%
