"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
2,3,0.721501,0.2886,0.4329
5,0,0.409836,0.409836,0
0,1,0.111607,0,0.111607
24,16,1.60901,0.965406,0.643604
14,3,0.795136,0.654818,0.140318
8,16,1.35364,0.451213,0.902425
2,1,0.483092,0.322061,0.161031
1,1,0.242718,0.121359,0.121359
25,2,2.75229,2.54842,0.203874
3,0,0.755668,0.755668,0
11,4,1.99468,1.46277,0.531915
4,2,0.438917,0.292612,0.146306
2,4,0.546946,0.182315,0.364631
38,14,1.88474,1.37731,0.50743
15,6,0.890963,0.636402,0.254561
10,16,1.33197,0.512295,0.819672
5,5,1.44928,0.724638,0.724638
3,0,0.355872,0.355872,0
23,3,2.80778,2.4838,0.323974
5,0,1.3587,1.3587,0
4,3,0.988701,0.564972,0.423729
1,2,0.215054,0.0716846,0.143369
5,9,1.38203,0.493583,0.88845
61,13,2.48239,2.04629,0.436095
5,8,0.523349,0.201288,0.322061
6,15,1.08415,0.309757,0.774393
6,0,0.828729,0.828729,0
2,2,0.456621,0.228311,0.228311
6,0,0.641711,0.641711,0
1,0,0.257732,0.257732,0
1,1,0.27933,0.139665,0.139665
7,3,0.707214,0.49505,0.212164
1,3,0.386847,0.0967118,0.290135
47,26,2.52945,1.62855,0.900901
13,6,0.73246,0.501157,0.231303
20,5,1.40924,1.1274,0.281849
4,5,1.21294,0.539084,0.673854
1,1,0.212089,0.106045,0.106045
3,1,0.412797,0.309598,0.103199
1,1,0.430108,0.215054,0.215054
0,1,0.128041,0,0.128041
6,2,0.585652,0.439239,0.146413
2,6,0.683177,0.170794,0.512383
45,33,2.33184,1.34529,0.986547
13,10,0.869565,0.491493,0.378072
16,7,1.15869,0.806045,0.352645
2,4,0.766284,0.255428,0.510856
1,1,0.194553,0.0972763,0.0972763
11,3,1.26468,0.993677,0.271003
1,1,0.420168,0.210084,0.210084
2,1,0.439883,0.293255,0.146628
6,2,0.554401,0.4158,0.1386
3,0,0.249377,0.249377,0
57,59,3.41076,1.67598,1.73478
23,3,0.991231,0.876859,0.114373
20,15,1.5528,0.887311,0.665484
1,0,0.13986,0.13986,0
2,0,0.181488,0.181488,0
8,5,1.11972,0.689061,0.430663
0,1,0.215517,0,0.215517
1,1,0.256739,0.12837,0.12837
4,3,0.462963,0.26455,0.198413
2,6,0.645682,0.161421,0.484262
36,56,2.71146,1.06101,1.65046
15,8,0.840951,0.548446,0.292505
20,17,1.74858,0.94518,0.803403
2,4,0.870827,0.290276,0.580552
0,0,0,0,0
4,2,0.5,0.333333,0.166667
0,1,0.182149,0,0.182149
2,1,0.380711,0.253807,0.126904
11,4,1.0917,0.800582,0.291121
1,3,0.384246,0.0960615,0.288184
75,64,3.73154,2.01342,1.71812
10,5,0.59312,0.395413,0.197707
12,11,0.933442,0.487013,0.446429
0,1,0.162075,0,0.162075
2,1,0.271985,0.181324,0.0906618
5,1,0.566038,0.471698,0.0943396
1,1,0.375235,0.187617,0.187617
2,1,0.384615,0.25641,0.128205
15,2,1.02348,0.90307,0.120409
4,2,0.498339,0.332226,0.166113
66,49,3.51682,2.01835,1.49847
15,4,0.659036,0.520291,0.138744
12,11,0.922213,0.481155,0.441059
4,0,0.531915,0.531915,0
4,1,0.399042,0.319234,0.0798085
12,7,1.48554,0.938233,0.547303
11,4,2.4,1.76,0.64
2,5,0.852619,0.243605,0.609013
14,4,1.07784,0.838323,0.239521
2,1,0.224383,0.149589,0.0747943
66,62,3.58242,1.84719,1.73524
15,7,0.74124,0.505391,0.235849
14,13,1.08827,0.564289,0.523982
6,2,1.06809,0.801068,0.267023
6,5,0.88853,0.484653,0.403877
8,3,0.906096,0.658979,0.247117
7,4,1.76849,1.1254,0.643087
1,2,0.356295,0.118765,0.23753
12,5,0.926431,0.653951,0.27248
2,2,0.30888,0.15444,0.15444
162,130,7.19566,3.99211,3.20355
16,5,0.7109,0.541638,0.169262
13,15,1.07157,0.497512,0.574053
8,2,1.321,1.0568,0.264201
4,14,1.45749,0.323887,1.1336
14,10,1.94647,1.13544,0.81103
12,7,3.54478,2.23881,1.30597
9,2,1.24153,1.0158,0.225734
11,4,0.881834,0.646678,0.235156
8,7,1.1583,0.617761,0.540541
92,84,4.86457,2.54284,2.32172
25,7,1.13034,0.88308,0.247262
27,25,1.86047,0.966011,0.894454
1,3,0.578035,0.144509,0.433526
18,13,2.58118,1.49875,1.08243
