"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
84,43,1.05578,0.698312,0.357469
116,54,1.29662,0.884753,0.411868
97,52,1.10855,0.721672,0.386876
98,52,1.10807,0.723942,0.384132
97,68,1.12344,0.660448,0.462994
122,86,1.38224,0.810739,0.571505
84,98,1.19344,0.55082,0.642623
119,92,1.38506,0.781147,0.603912
145,81,1.39498,0.895006,0.499969
140,106,1.47544,0.839681,0.635758
244,192,2.51181,1.40569,1.10612
220,166,2.287,1.30347,0.983529
264,200,2.45958,1.39942,1.06016
396,184,2.93137,2.00142,0.92995
571,224,4.25384,3.05527,1.19857
716,315,5.48463,3.80892,1.67571
1035,412,6.95974,4.97812,1.98163
1572,587,9.69858,7.06168,2.6369
2265,864,12.5491,9.08398,3.46515
3135,1092,15.5359,11.5223,4.01353
4410,1276,18.3621,14.2414,4.12065
5523,1629,21.1098,16.3017,4.80815
6679,2018,23.6454,18.1588,5.48653
5047,1790,19.972,14.7431,5.22887
3919,1652,18.4709,12.9936,5.47727
2965,1514,16.2265,10.7416,5.48491
1971,1390,14.0164,8.21969,5.79674
1506,1364,13.2362,6.94553,6.29064
1123,1329,12.3464,5.65458,6.69184
701,1143,10.2615,3.90095,6.3606
427,822,8.12094,2.77633,5.3446
280,662,6.68559,1.98722,4.69837
224,505,5.81108,1.78557,4.02551
139,408,4.71918,1.19921,3.51997
82,226,3.0595,0.814543,2.24496
70,207,3.02006,0.763192,2.25687
59,94,1.82927,0.705404,1.12386
44,83,1.71228,0.593232,1.11905
26,51,1.22261,0.412829,0.809781
24,30,0.903312,0.401472,0.50184
24,31,0.869153,0.379267,0.489886
24,26,0.849185,0.407609,0.441576
20,25,0.781793,0.347464,0.434329
33,20,0.933921,0.581498,0.352423
22,30,0.900745,0.381084,0.51966
27,21,0.803482,0.451958,0.351523
63,25,1.40485,1.00575,0.399106
78,41,1.67771,1.09968,0.578035
57,56,1.46146,0.737196,0.724263
74,58,1.51255,0.847943,0.664604
97,67,1.74135,1.02994,0.711404
106,83,1.78369,1.00038,0.783314
120,90,1.56951,0.896861,0.672646
108,83,1.35914,0.768519,0.590621
115,97,1.40304,0.761085,0.641959
143,88,1.50862,0.933908,0.574713
201,118,1.91569,1.20706,0.708624
271,121,2.20089,1.52153,0.679355
347,144,2.57608,1.82057,0.755509
451,169,3.34773,2.43521,0.912527
532,183,3.3191,2.46959,0.849503
696,180,4.25987,3.38456,0.875316
1359,210,6.68342,5.78889,0.894531
2563,341,10.7819,9.51585,1.26606
4270,388,13.9993,12.8332,1.16611
4288,386,13.3436,12.2416,1.10198
4935,476,15.373,14.0207,1.35235
6062,655,18.2865,16.5033,1.78319
6254,797,18.5299,16.4354,2.0945
7779,1097,21.4215,18.774,2.64752
9702,1890,24.1525,20.2146,3.93791
9546,2552,24.5117,19.3411,5.1706
8763,2952,24.7251,18.4948,6.23035
5605,2389,19.772,13.8631,5.90883
4632,2785,19.2714,12.0352,7.23621
3795,3171,19.0338,10.3694,8.66441
3221,3715,19.7113,9.15369,10.5576
2345,3658,18.4816,7.21961,11.262
1443,2986,15.4251,5.0256,10.3995
902,2283,12.7395,3.60786,9.13163
567,1575,9.69626,2.56666,7.1296
326,946,6.76776,1.7345,5.03325
252,708,5.91752,1.55335,4.36417
232,584,5.33264,1.51614,3.81649
216,479,4.86286,1.51134,3.35153
180,378,4.35223,1.40395,2.94829
171,314,4.16524,1.46857,2.69667
136,225,3.38586,1.27556,2.1103
131,162,3.06229,1.36915,1.69314
107,117,2.64932,1.26552,1.3838
94,96,2.53401,1.25367,1.28034
75,79,2.17791,1.06067,1.11724
92,68,2.16392,1.24425,0.919665
87,45,1.83895,1.21204,0.626916
72,50,1.80607,1.06588,0.740192
96,35,1.94796,1.42751,0.520446
76,55,1.90048,1.10257,0.797911
62,40,1.34281,0.816219,0.526593
80,37,1.43382,0.980392,0.453431
120,62,1.93535,1.27605,0.659294
128,68,1.88806,1.23302,0.655043
148,72,1.89622,1.27564,0.620583
137,75,1.66942,1.07883,0.590598
155,77,1.70313,1.13787,0.565262
230,112,2.20191,1.48081,0.721092
248,98,2.08975,1.49786,0.591895
278,110,2.17647,1.55943,0.617042
340,135,2.58279,1.84873,0.734055
503,219,3.60729,2.51312,1.09418
689,240,4.24472,3.14813,1.09659
939,322,5.29966,3.94637,1.35328
1336,353,7.0877,5.60638,1.48133
1552,436,7.30533,5.70316,1.60218
2479,827,10.7453,8.05733,2.68794
4560,844,15.3549,12.9568,2.39814
9237,1698,22.777,19.2401,3.53684
12002,2092,25.3864,21.6182,3.76815
13018,2535,25.3653,21.231,4.13432
15149,3246,26.9421,22.1879,4.75423
14782,3905,27.034,21.3848,5.64927
16634,5350,27.3698,20.7091,6.66069
15193,6915,27.0643,18.599,8.46524
14116,7858,26.9981,17.3434,9.65463
11371,8210,26.1174,15.1668,10.9506
7177,6400,22.6155,11.9549,10.6606
4405,4559,18.4867,9.08453,9.40213
2897,3534,15.6938,7.06965,8.62414
2349,3384,15.5813,6.38419,9.19715
2023,3103,15.328,6.04928,9.27875
1708,2927,15.1135,5.56932,9.54415
1132,2337,12.6888,4.1406,8.54823
901,1917,11.2486,3.59652,7.65208
595,1424,9.39813,2.76963,6.6285
472,1074,7.99876,2.44205,5.55671
346,724,6.25914,2.02398,4.23516
191,467,4.39311,1.2752,3.11791
176,236,3.16606,1.35249,1.81357
119,163,2.39003,1.00856,1.38147
76,89,1.52934,0.704421,0.824914
73,80,1.57683,0.752345,0.824487
51,65,1.29914,0.571173,0.727965
49,38,1.02329,0.576335,0.446954
57,29,1.11356,0.738055,0.375502
44,25,1.00305,0.639628,0.363425
51,13,0.916118,0.730031,0.186086
57,15,1.0534,0.833943,0.219459
48,19,0.995099,0.712907,0.282192
43,17,0.953592,0.683408,0.270184
43,22,0.95729,0.633284,0.324006
36,18,0.764331,0.509554,0.254777
77,27,1.33625,0.989336,0.34691
98,33,1.50367,1.12489,0.378788
119,52,1.74739,1.21602,0.531371
155,48,1.68745,1.28845,0.399002
158,66,1.69929,1.1986,0.500683
169,52,1.49699,1.14475,0.352232
218,71,1.74855,1.31897,0.429574
223,83,1.6967,1.23648,0.460216
312,91,1.99298,1.54295,0.450027
340,101,2.05527,1.58456,0.470709
390,99,2.17372,1.73364,0.440078
546,98,2.7331,2.31719,0.415906
668,106,3.15674,2.72442,0.432318
897,76,3.92782,3.62102,0.306798
1002,107,3.91485,3.53714,0.377718
1660,152,6.23152,5.70878,0.522732
3242,194,10.3644,9.7792,0.585183
5289,192,14.2649,13.7652,0.499701
6849,244,16.352,15.7895,0.56251
5243,153,12.1387,11.7945,0.344184
5075,218,12.7217,12.1978,0.523963
6673,187,16.3174,15.8726,0.444804
8323,247,19.3918,18.8329,0.558899
10676,292,22.5493,21.949,0.600329
13151,429,25.1342,24.3402,0.794003
13354,515,26.026,25.0596,0.966428
13708,478,26.2407,25.3565,0.884186
13436,441,26.0743,25.2457,0.82862
13199,438,25.6065,24.7841,0.822443
13376,569,26.1318,25.0656,1.06626
10336,623,22.4805,21.2025,1.27797
7672,598,19.3035,17.9077,1.39583
4892,597,14.9422,13.317,1.62515
3211,567,11.9093,10.122,1.78735
1893,518,8.61102,6.76096,1.85007
1031,413,5.84355,4.17223,1.67132
634,338,4.81976,3.14375,1.67601
404,277,3.83986,2.27798,1.56188
333,269,3.54159,1.95905,1.58254
276,260,3.41968,1.76088,1.6588
212,231,3.0826,1.47519,1.6074
144,208,2.78989,1.14132,1.64857
129,135,2.31579,1.13158,1.18421
109,90,1.90194,1.04177,0.860174
93,97,2.0806,1.0184,1.0622
129,86,2.42883,1.4573,0.971532
102,81,2.01653,1.12397,0.892562
105,80,2.21849,1.25914,0.959348
104,85,2.37706,1.30801,1.06905
104,85,2.39817,1.31963,1.07854
79,87,2.05446,0.977723,1.07673
78,95,2.08183,0.938628,1.1432
94,116,2.36167,1.05713,1.30454
142,221,3.45517,1.35161,2.10356
136,230,3.09749,1.15098,1.94651
152,180,2.48391,1.13721,1.3467
162,253,2.75656,1.07605,1.6805
153,323,2.74367,0.881895,1.86178
136,124,1.30976,0.685104,0.624654
146,181,1.47877,0.660245,0.818523
172,187,1.55203,0.743591,0.808439
201,354,2.25335,0.816078,1.43727
221,556,3.05701,0.869497,2.18751
414,1075,5.16261,1.43541,3.7272
535,1589,6.75594,1.70171,5.05423
903,2581,9.54599,2.47418,7.07181
1079,2793,10.9385,3.04819,7.89028
1426,3461,11.6554,3.40099,8.25443
2158,5097,16.1542,4.80506,11.3491
3697,8579,22.533,6.78598,15.7471
5980,11264,26.9336,9.34025,17.5934
5645,9664,23.4883,8.66103,14.8273
6109,7928,23.1187,10.0614,13.0573
7712,8020,26.0826,12.786,13.2966
9478,8764,28.2813,14.6941,13.5872
12102,9671,30.1465,16.7562,13.3903
12960,8787,30.2596,18.0331,12.2266
13372,7180,29.675,19.3078,10.3672
12714,5755,28.3215,19.4964,8.82506
11713,4363,25.7517,18.7627,6.98896
11050,3378,22.4914,17.2255,5.26587
9077,2690,15.8125,12.1976,3.61481
4131,1352,7.50171,5.65194,1.84977
759,280,2.32158,1.69594,0.625642
196,122,1.0312,0.635579,0.395616
75,46,0.61823,0.3832,0.23503
58,32,0.623139,0.401579,0.221561
20,8,0.218375,0.155982,0.0623928
19,8,0.262953,0.185041,0.077912
14,15,0.326173,0.157463,0.16871
14,10,0.305966,0.17848,0.127486
8,8,0.212681,0.106341,0.106341
7,3,0.16518,0.115626,0.049554
9,12,0.339751,0.145608,0.194143
8,8,0.279818,0.139909,0.139909
12,8,0.38117,0.228702,0.152468
9,7,0.282336,0.158814,0.123522
8,5,0.207734,0.127836,0.0798977
6,5,0.173996,0.0949067,0.0790889
11,12,0.372409,0.178109,0.194301
5,4,0.148957,0.0827541,0.0662032
3,5,0.13104,0.04914,0.0819001
7,4,0.173776,0.110585,0.0631912
4,4,0.130719,0.0653595,0.0653595
6,8,0.224431,0.0961847,0.128246
7,13,0.310414,0.108645,0.201769
7,6,0.198686,0.106985,0.0917011
7,6,0.184162,0.0991642,0.0849979
14,18,0.395893,0.173203,0.22269
11,9,0.221754,0.121965,0.0997893
19,21,0.327869,0.155738,0.172131
30,28,0.388636,0.201018,0.187617
27,26,0.350715,0.178666,0.172049
21,21,0.252845,0.126422,0.126422
22,19,0.199494,0.107046,0.0924484
31,25,0.205981,0.114025,0.0919557
32,44,0.217721,0.0916722,0.126049
34,54,0.22712,0.087751,0.139369
19,36,0.155913,0.053861,0.102052
31,65,0.225744,0.0728966,0.152848
26,76,0.244148,0.0622337,0.181914
36,81,0.285945,0.087983,0.197962
34,67,0.27816,0.0936381,0.184522
34,73,0.264387,0.0840108,0.180376
28,95,0.27351,0.0622623,0.211247
24,48,0.17222,0.0574067,0.114813
21,62,0.21281,0.0538434,0.158966
12,50,0.170073,0.0329173,0.137155
21,53,0.202413,0.0574414,0.144971
11,35,0.134941,0.0322685,0.102672
19,22,0.12645,0.0585986,0.067851
17,25,0.122349,0.0495223,0.0728268
14,17,0.0906857,0.0409548,0.0497309
15,21,0.105291,0.0438712,0.0614197
26,19,0.129758,0.0749712,0.0547866
13,17,0.0838856,0.0363504,0.0475352
13,9,0.0689655,0.0407524,0.0282132
10,14,0.0761421,0.0317259,0.0444162
8,13,0.069449,0.0264568,0.0429923
12,16,0.0915991,0.0392567,0.0523423
16,10,0.083208,0.0512049,0.0320031
10,15,0.0828473,0.0331389,0.0497084
17,13,0.103324,0.05855,0.0447735
23,20,0.151323,0.0809403,0.0703829
14,23,0.150566,0.0569708,0.0935949
7,15,0.0921042,0.0293059,0.0627983
8,18,0.102938,0.0316731,0.0712645
17,12,0.118658,0.0695581,0.0490998
12,17,0.129661,0.0536529,0.0760082
3,13,0.0703111,0.0131833,0.0571278
5,9,0.055857,0.0199489,0.0359081
11,17,0.106646,0.0418968,0.0647496
5,13,0.0649398,0.0180388,0.0469009
11,12,0.0759678,0.0363324,0.0396354
14,18,0.110769,0.0484614,0.0623075
8,11,0.0539911,0.0227331,0.031258
14,10,0.071706,0.0418285,0.0298775
13,11,0.0598399,0.0324133,0.0274266
22,13,0.0851229,0.0535058,0.0316171
11,9,0.0541829,0.0298006,0.0243823
11,14,0.0574581,0.0252815,0.0321765
12,17,0.0713688,0.0295319,0.0418369
29,23,0.117498,0.0655278,0.0519704
41,37,0.15698,0.0825149,0.0744647
24,32,0.120916,0.0518213,0.0690951
26,39,0.132889,0.0531556,0.0797334
99,33,0.254267,0.1907,0.0635667
124,37,0.282283,0.21741,0.0648724
309,36,0.545299,0.488399,0.0569008
687,45,1.00405,0.942322,0.0617242
1285,39,1.84175,1.7875,0.0542511
2395,71,2.89274,2.80945,0.0832864
3913,51,4.05392,4.00176,0.0521568
6681,61,6.23128,6.1749,0.0563792
7240,78,5.76656,5.7051,0.0614638
6088,109,4.2145,4.14037,0.0741295
3606,68,2.43518,2.39011,0.0450713
2600,72,2.06453,2.0089,0.0556311
2190,72,2.11855,2.05112,0.067434
1722,46,2.02929,1.97649,0.0527983
1570,41,2.33841,2.2789,0.0595126
1855,47,2.93519,2.86265,0.0725309
2525,65,4.11418,4.01093,0.103252
2813,33,4.6558,4.60182,0.0539851
3612,43,5.98405,5.91365,0.0704006
4206,54,6.86997,6.78289,0.0870841
4951,52,7.99444,7.91135,0.0830923
5483,36,8.28915,8.23508,0.0540695
5564,115,8.55245,8.37927,0.173188
6660,34,9.49544,9.44721,0.048229
6844,26,9.88646,9.84904,0.037416
6303,52,8.83682,8.76451,0.0723076
6235,43,8.15632,8.10045,0.0558652
6702,51,8.45266,8.38882,0.0638362
6086,63,7.27228,7.19777,0.0745086
5059,27,6.00416,5.97228,0.0318742
4756,39,5.78813,5.74105,0.0470776
3785,46,4.90161,4.84275,0.0588551
2451,34,3.31143,3.26613,0.0453074
1600,42,2.36341,2.30295,0.0604525
1084,40,1.68997,1.62983,0.0601413
780,37,1.26806,1.21063,0.0574276
593,30,0.973498,0.92662,0.0468779
438,50,0.792748,0.711524,0.0812242
348,38,0.62007,0.559027,0.0610432
268,31,0.516078,0.462571,0.0535064
240,29,0.490616,0.437725,0.0528917
224,27,0.481129,0.429374,0.0517549
223,34,0.479156,0.415766,0.0633903
300,41,0.593085,0.521775,0.0713093
335,35,0.616677,0.558343,0.0583343
428,22,0.753163,0.716342,0.0368213
503,37,0.867205,0.807786,0.0594196
775,65,1.24527,1.14891,0.0963605
1268,83,2.01952,1.89545,0.124071
1984,105,2.66968,2.5355,0.134187
2961,88,3.46261,3.36267,0.0999375
5080,108,5.43662,5.32344,0.113176
9341,113,8.37742,8.27729,0.100132
16953,145,12.7953,12.6868,0.108511
21338,188,14.9355,14.8051,0.130441
28750,189,18.3419,18.2222,0.119791
40596,179,25.8135,25.7002,0.11332
48835,172,25.5531,25.4634,0.0896838
47727,208,26.2658,26.1518,0.113973
42073,216,24.4693,24.3443,0.124982
31309,143,20.7763,20.6818,0.0944618
20501,173,14.8994,14.7748,0.124678
10268,153,8.61225,8.48581,0.126444
4852,156,4.58566,4.44282,0.142844
2982,158,2.94035,2.7924,0.147954
1943,169,2.12014,1.95049,0.169651
1426,200,1.67339,1.46756,0.205829
1111,269,1.36967,1.10269,0.266987
780,261,1.08468,0.812729,0.271951
725,219,1.01838,0.782127,0.236256
609,227,0.92233,0.671889,0.250441
602,298,1.04196,0.696953,0.345003
490,264,0.89434,0.581202,0.313138
477,304,0.949267,0.57977,0.369497
380,356,0.959683,0.495488,0.464194
401,365,1.05613,0.552882,0.503247
281,342,1.01401,0.457364,0.55665
209,266,0.837728,0.3686,0.469128
221,289,0.954306,0.413532,0.540773
199,300,0.943503,0.376267,0.567236
198,359,1.01804,0.361888,0.656151
192,372,1.17603,0.40035,0.775679
225,302,1.19412,0.509823,0.684295
250,305,1.30539,0.588014,0.717377
224,208,1.0945,0.56752,0.526983
212,186,1.10746,0.589905,0.517558
190,122,0.947234,0.576841,0.370393
221,114,1.10448,0.728627,0.375853
268,98,1.20836,0.88481,0.32355
187,119,0.998011,0.609895,0.388115
200,108,0.998153,0.648151,0.350002
183,129,0.994042,0.583044,0.410998
203,142,1.06399,0.62606,0.437934
184,125,0.855174,0.50923,0.345944
212,151,0.897271,0.524026,0.373245
233,132,0.769782,0.491395,0.278387
266,115,0.718069,0.501329,0.21674
262,126,0.701222,0.473505,0.227716
314,148,0.792616,0.538704,0.253912
347,217,0.915555,0.563293,0.352261
360,217,0.933506,0.58243,0.351076
430,285,1.10103,0.66216,0.438873
594,290,1.34933,0.906676,0.442653
693,318,1.51345,1.03741,0.476041
862,393,1.81282,1.24514,0.567681
1456,566,2.61941,1.88618,0.733227
2582,1072,3.95879,2.79737,1.16142
3647,1250,4.86504,3.6232,1.24184
4334,1347,5.91987,4.51623,1.40364
6571,1705,6.96915,5.53338,1.43577
10169,2207,9.79897,8.05153,1.74744
15256,3340,13.3872,10.9827,2.40445
22285,4688,17.3213,14.3108,3.01049
22917,5035,18.1605,14.8887,3.27114
15374,3666,13.8031,11.1431,2.65712
14376,3706,13.867,11.0243,2.84196
13213,4084,14.9059,11.3838,3.51863
14151,5283,16.1303,11.7454,4.38492
13525,6687,16.3067,10.9117,5.39496
12145,7526,15.8521,9.7867,6.06461
11042,7662,15.5673,9.19026,6.37708
10143,8185,15.5181,8.58798,6.93016
8944,7447,14.9467,8.1559,6.7908
7780,6901,14.2261,7.53891,6.68715
5798,5840,11.9214,5.93917,5.9822
4766,4612,10.3628,5.26647,5.0963
4001,3884,9.15264,4.64423,4.50842
3243,2923,7.53799,3.9646,3.57339
2389,2128,5.79303,3.06388,2.72915
1866,1551,4.7576,2.59809,2.15951
1496,1172,3.79997,2.13072,1.66925
1106,816,3.1963,1.83929,1.35701
807,451,2.3264,1.49237,0.834027
