"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
2,3,2.99,1.2,1.8
X,X,X,X,X
0,0,0,0,0
0,1,3.85,0,3.85
2,0,0.29,0.29,0
0,1,0.39,0,0.39
1,0,0.33,0.33,0
0,0,0,0,0
X,X,X,X,X
14,6,1.87,1.31,0.56
6,5,2.12,1.16,0.97
23,2,10.68,9.83,0.85
0,0,0,0,0
3,0,1.13,1.13,0
0,0,0,0,0
0,0,0,0,0
2,1,3.33,2.22,1.11
1,0,0.49,0.49,0
1,2,0.98,0.33,0.65
X,X,X,X,X
0,0,0,0,0
1,2,1.16,0.39,0.77
9,0,1.83,1.83,0
1,0,0.45,0.45,0
1,0,0.71,0.71,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
4,0,0.37,0.37,0
0,1,0.75,0,0.75
X,X,X,X,X
0,2,0.52,0,0.52
1,0,0.76,0.76,0
0,0,0,0,0
0,1,0.27,0,0.27
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,1,0.97,0,0.97
6,13,1.68,0.53,1.15
0,0,0,0,0
0,1,1.1,0,1.1
0,0,0,0,0
3,0,1.22,1.22,0
0,0,0,0,0
1,1,0.29,0.15,0.15
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
2,1,1.8,1.2,0.6
X,X,X,X,X
0,0,0,0,0
1,0,2.78,2.78,0
3,2,0.76,0.45,0.3
2,0,0.71,0.71,0
10,3,3.75,2.88,0.86
0,0,0,0,0
X,X,X,X,X
33,7,3.12,2.57,0.55
0,2,0.41,0,0.41
20,1,11.54,10.99,0.55
X,X,X,X,X
3,0,1.11,1.11,0
1,1,2.08,1.04,1.04
1,0,1.82,1.82,0
2,1,3.23,2.15,1.08
0,0,0,0,0
2,1,0.77,0.51,0.26
X,X,X,X,X
0,0,0,0,0
1,1,0.78,0.39,0.39
8,2,1.87,1.5,0.37
2,0,0.82,0.82,0
2,0,1.36,1.36,0
2,2,0.82,0.41,0.41
0,0,0,0,0
0,2,3.64,0,3.64
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
4,2,0.48,0.32,0.16
0,2,1.37,0,1.37
X,X,X,X,X
1,1,0.32,0.16,0.16
0,0,0,0,0
1,0,0.85,0.85,0
1,1,0.43,0.22,0.22
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
1,2,2.5,0.83,1.67
7,15,1.91,0.61,1.3
0,0,0,0,0
0,0,0,0,0
1,0,0.57,0.57,0
4,0,1.67,1.67,0
0,3,0.8,0,0.8
0,2,0.34,0,0.34
1,0,6.67,6.67,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
4,1,2.59,2.07,0.52
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
2,0,0.33,0.33,0
1,1,0.71,0.36,0.36
4,2,1.92,1.28,0.64
1,0,2.17,2.17,0
X,X,X,X,X
47,8,4.06,3.47,0.59
2,3,0.99,0.4,0.6
4,0,1.59,1.59,0
0,0,0,0,0
3,3,2.18,1.09,1.09
0,0,0,0,0
3,0,3.23,3.23,0
2,0,2.9,2.9,0
1,0,0.43,0.43,0
1,0,0.25,0.25,0
X,X,X,X,X
0,0,0,0,0
0,1,0.41,0,0.41
0,0,0,0,0
1,1,0.76,0.38,0.38
1,0,0.68,0.68,0
1,0,0.2,0.2,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
1,2,0.24,0.08,0.16
1,0,0.63,0.63,0
0,0,0,0,0
0,4,0.59,0,0.59
1,1,1.17,0.58,0.58
0,0,0,0,0
3,1,0.91,0.68,0.23
