"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season,""""""""""""""""""""""""""""""" and will be presented with the public health and clinical labs combined."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
A (Unable to Subtype),B,H3N2v,A (H5)
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,3,0,0
0,4,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,5,0,0
0,4,0,0
0,4,0,0
0,3,0,0
0,6,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,6,0,0
0,12,0,0
0,4,0,0
0,6,0,0
0,5,0,0
0,4,0,0
0,7,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,5,0,0
0,0,0,0
0,4,0,0
0,4,0,0
0,8,0,0
0,11,0,0
0,21,0,0
0,14,0,0
0,27,0,0
0,31,0,0
0,76,0,0
0,111,0,0
0,153,0,0
0,269,0,0
0,400,0,0
0,407,0,0
0,379,0,0
0,366,0,0
0,334,0,0
0,216,0,0
0,176,0,0
0,121,0,0
0,61,0,0
0,38,0,0
0,20,0,0
0,8,0,0
0,3,0,0
0,4,0,0
0,4,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,3,0,0
0,0,0,0
0,2,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,4,0,0
0,1,0,0
0,4,0,0
0,1,0,0
0,2,0,0
0,3,0,0
0,5,0,0
0,1,0,0
0,4,0,0
0,6,0,0
0,9,0,0
0,5,0,0
0,6,0,0
0,5,0,0
0,3,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,5,0,0
0,4,0,0
0,6,0,0
0,1,0,0
0,2,0,0
0,2,0,0
0,0,0,0
0,2,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,2,0,0
0,2,0,0
0,3,0,0
0,7,0,0
0,13,0,0
0,24,0,0
0,36,0,0
0,41,0,0
0,55,0,0
0,103,0,0
0,132,0,0
0,167,0,0
0,275,0,0
0,373,0,0
0,489,0,0
0,524,0,0
0,587,0,0
0,470,0,0
0,437,0,0
0,377,0,0
0,197,0,0
0,152,0,0
0,153,0,0
0,96,0,0
0,68,0,0
0,37,0,0
0,44,0,0
0,21,0,0
0,8,0,0
0,6,0,0
0,9,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,3,0,0
0,1,0,0
0,5,0,0
0,2,0,0
0,4,0,0
0,1,0,0
0,2,0,0
0,6,0,0
0,5,0,0
0,12,0,0
0,24,0,0
0,19,0,0
0,28,0,0
0,68,0,0
0,86,0,0
0,136,0,0
0,166,0,0
0,210,0,0
0,284,0,0
0,235,0,0
0,192,0,0
0,226,0,0
0,138,0,0
0,149,0,0
0,140,0,0
0,86,0,0
0,61,0,0
0,34,0,0
0,25,0,0
0,7,0,0
0,2,0,0
0,4,0,0
0,2,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,2,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,3,0,0
0,3,0,0
0,4,0,0
0,16,0,0
0,6,0,0
0,28,0,0
0,73,0,0
0,146,0,0
0,119,0,0
0,82,0,0
0,134,0,0
0,202,0,0
0,276,0,0
0,413,0,0
0,598,0,0
0,517,0,0
0,368,0,0
0,357,0,0
0,214,0,0
0,175,0,0
0,124,0,0
0,71,0,0
0,41,0,0
0,16,0,0
0,23,0,0
0,11,0,0
0,20,0,0
0,10,0,0
0,6,0,0
0,7,0,0
0,4,0,0
0,8,0,0
0,4,0,0
0,2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,4,0,0
0,0,0,0
0,3,0,0
0,2,0,0
0,8,0,0
0,10,0,0
0,32,0,0
0,29,0,0
0,20,0,0
0,16,0,0
0,12,0,0
0,9,0,0
0,5,0,0
0,3,0,0
0,3,0,0
0,2,0,0
0,5,0,0
0,8,0,0
0,12,0,0
0,8,0,0
0,6,0,0
0,2,0,0
0,15,0,0
0,9,0,0
0,8,0,0
0,12,0,0
0,11,0,0
0,7,0,0
0,6,0,0
0,2,0,0
0,3,0,0
0,3,0,0
0,4,0,0
0,2,0,0
0,2,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,2,0,0
0,2,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,3,0,0
0,2,0,0
0,1,0,0
0,2,0,0
0,4,0,0
0,1,0,0
0,11,0,0
0,7,0,0
0,16,0,0
0,24,0,0
0,21,0,0
0,21,0,0
0,32,0,0
0,32,0,0
0,45,0,0
0,54,0,0
0,123,0,0
0,166,0,0
0,182,0,0
0,212,0,0
0,306,0,0
0,424,0,0
0,478,0,0
0,613,0,0
0,618,0,0
0,520,0,0
0,418,0,0
0,471,0,0
0,463,0,0
0,343,0,0
0,212,0,0
0,123,0,0
0,75,0,0
0,42,0,0
0,33,0,0
0,19,0,0
0,16,0,0
0,19,0,0
0,15,0,0
0,8,0,0
0,10,0,0
0,5,0,0
0,1,0,0
0,4,0,0
0,2,0,0
0,2,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,5,0,0
0,2,0,0
0,3,0,0
0,7,0,0
0,4,0,0
0,3,0,0
0,2,0,0
0,8,0,0
0,5,0,0
0,11,0,0
0,23,0,0
0,24,0,0
0,22,0,0
0,29,0,0
0,33,0,0
0,74,0,0
0,142,0,0
0,184,0,0
0,242,0,0
0,396,0,0
0,408,0,0
0,441,0,0
0,432,0,0
0,438,0,0
0,312,0,0
0,241,0,0
0,218,0,0
0,135,0,0
0,128,0,0
0,116,0,0
0,87,0,0
0,93,0,0
0,50,0,0
0,38,0,0
0,11,0,0
0,10,0,0
0,6,0,0
0,2,0,0
0,0,0,0
0,2,0,0
0,2,0,0
0,1,0,0
0,2,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,0,0,0
0,1,0,0
0,2,0,0
0,3,0,0
0,15,0,0
0,9,0,0
0,22,0,0
0,23,0,0
0,42,0,0
0,43,0,0
0,32,0,0
0,28,0,0
0,54,0,0
0,62,0,0
0,120,0,0
0,133,0,0
0,123,0,0
0,86,0,0
0,86,0,0
0,80,0,0
0,154,0,0
0,203,0,0
0,411,0,0
0,416,0,0
0,526,0,0
0,550,0,0
0,470,0,0
0,430,0,0
0,369,0,0
0,211,0,0
0,156,0,0
0,140,0,0
0,81,0,0
0,68,0,0
0,56,0,0
0,38,0,0
0,27,0,0
0,14,0,0
0,9,0,0
0,4,0,0
0,7,0,0
0,2,0,0
0,4,0,0
0,5,0,0
0,2,0,0
0,1,0,0
0,2,0,0
0,2,0,0
0,4,0,0
0,0,0,0
0,1,0,0
0,7,0,0
0,0,0,0
0,7,0,0
0,3,0,0
0,0,0,0
0,5,0,0
0,0,0,0
0,2,0,0
0,5,0,0
0,11,0,0
0,11,0,0
0,2,0,0
0,13,0,0
0,14,0,0
0,22,0,0
0,26,0,0
0,51,0,0
0,86,0,0
0,107,0,0
0,163,0,0
0,209,0,0
0,342,0,0
0,660,0,0
0,930,0,0
0,1085,0,0
0,1383,0,0
0,1412,0,0
0,1387,0,0
0,1095,0,0
0,903,0,0
0,777,0,0
0,511,0,0
0,416,0,0
0,234,0,0
0,131,0,0
0,79,0,0
0,43,0,0
0,20,0,0
0,15,0,0
0,10,0,0
0,5,0,0
0,7,0,0
0,2,0,0
0,6,0,0
0,3,0,0
0,4,0,0
0,2,0,0
0,0,0,0
0,4,0,0
0,1,0,0
0,1,0,0
0,3,0,0
0,3,0,0
0,0,0,0
0,2,0,0
0,3,0,0
0,2,0,0
0,6,0,0
0,6,0,0
0,6,0,0
0,15,0,0
0,6,0,0
0,12,0,0
0,12,0,0
0,26,0,0
0,20,0,0
0,18,0,0
0,42,0,0
0,60,0,0
0,45,0,0
0,50,0,0
0,79,0,0
0,103,0,0
0,190,0,0
0,381,0,0
0,687,0,0
0,947,0,0
1,931,0,0
0,1152,0,0
0,1168,0,0
0,1062,0,0
0,919,0,0
0,631,0,0
0,472,0,0
1,276,0,0
1,185,0,0
4,113,0,0
195,800,0,0
117,486,0,0
88,134,0,0
71,93,0,0
27,42,0,0
17,24,0,0
18,15,0,0
22,9,0,0
33,6,0,0
23,7,0,0
12,7,0,0
24,3,0,0
17,3,0,0
24,4,0,0
18,2,0,0
8,5,0,0
11,1,0,0
16,15,0,0
17,1,0,0
8,10,0,0
10,4,0,0
24,11,0,0
24,12,0,0
18,21,0,0
18,18,0,0
27,32,0,0
39,17,0,0
21,24,0,0
21,14,0,0
21,12,0,0
9,5,0,0
9,30,0,0
7,16,0,0
6,13,0,0
1,4,0,0
1,9,0,0
3,11,0,0
2,11,0,0
2,1,0,0
0,9,0,0
0,10,0,0
0,9,0,0
0,7,0,0
0,3,0,0
0,6,0,0
0,13,0,0
0,4,0,0
0,11,0,0
0,6,0,0
0,1,0,0
0,8,0,0
0,13,0,0
0,4,0,0
0,3,0,0
0,4,0,0
1,3,0,0
0,2,0,0
0,2,0,0
0,3,0,0
0,3,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,2,0,0
0,3,0,0
0,5,0,0
0,1,0,0
0,10,0,0
0,3,0,0
0,6,0,0
0,4,0,0
0,4,0,0
0,6,0,0
