"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and influenza B lineage."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
65,2,10,0,1,0,0
41,2,7,3,0,0,0
50,1,8,3,2,0,0
31,4,9,1,4,0,0
23,4,9,1,4,0,0
34,1,10,4,2,0,0
42,1,4,0,4,0,0
24,0,4,3,9,0,0
36,3,9,3,12,0,0
37,3,11,2,11,0,0
39,0,10,4,19,0,0
33,1,12,3,28,0,0
56,1,13,9,35,0,0
68,2,14,12,52,0,0
89,5,47,23,60,0,0
100,13,45,25,83,0,0
160,15,97,28,104,0,0
171,13,98,62,143,0,0
236,17,161,71,206,0,0
256,19,179,103,309,0,0
232,28,215,156,383,0,0
313,32,211,143,347,0,0
313,47,246,162,333,0,0
213,24,185,154,278,0,0
198,19,185,117,207,0,0
180,33,208,127,211,0,0
135,33,173,106,163,0,0
117,16,148,88,162,0,0
127,16,158,86,163,0,0
98,5,94,78,119,0,0
59,2,80,53,82,0,0
62,2,53,36,71,0,0
77,4,44,14,50,0,0
44,2,30,22,32,0,0
13,1,24,14,35,0,0
15,1,14,6,17,0,0
18,0,6,6,10,0,0
22,0,10,9,11,0,0
18,3,4,6,9,0,0
18,0,5,5,9,0,0
21,1,3,2,11,0,0
18,1,4,0,10,0,0
38,0,2,2,10,1,0
45,2,0,1,4,3,0
28,0,1,3,12,10,0
29,0,3,1,7,4,0
28,0,2,2,6,0,0
33,0,5,4,2,0,0
45,0,6,1,3,0,0
55,2,10,4,6,0,0
77,0,8,3,5,0,0
73,1,5,11,0,0,0
87,0,1,5,4,0,0
81,0,3,7,6,0,0
134,2,1,8,10,0,0
130,1,6,3,3,0,0
122,3,3,10,7,0,0
155,1,5,6,1,0,0
189,2,13,7,1,0,0
164,14,10,4,3,0,0
318,11,18,17,5,0,0
479,3,3,20,7,0,0
750,9,16,27,18,0,0
1016,11,16,38,28,0,0
1676,31,13,59,37,0,0
2067,13,19,47,60,0,0
2210,30,25,49,76,0,0
2253,24,26,69,104,0,0
2431,29,30,71,123,0,0
2596,30,50,96,182,0,0
2975,23,47,126,240,0,0
2617,17,104,152,300,0,0
2364,12,89,159,357,0,0
1492,13,102,149,358,0,0
1256,15,107,138,389,0,0
909,11,124,141,440,0,0
843,4,124,193,523,0,0
655,3,218,143,576,0,0
374,4,133,117,450,0,0
221,1,81,66,383,0,0
144,2,81,54,250,0,0
133,2,49,51,181,0,0
