"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype,""""""""""""""""""""""""""""""" and influenza B lineage."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
16,1,2,2,2,0,0
98,0,231,1,2,0,0
580,0,13,58,399,0,0
8,0,1,12,0,0,0
854,35,775,309,803,0,0
243,3,13,40,144,0,0
52,0,185,0,0,0,0
20,12,8,78,69,0,0
3,0,7,0,3,0,0
184,25,300,1,3,0,0
32,40,19,38,41,0,0
223,35,28,80,187,0,0
57,3,0,28,283,0,0
39,2,1,21,37,0,0
75,3,15,31,19,0,0
46,7,0,26,78,0,0
16,4,2,6,20,0,0
17,0,74,5,2,0,0
90,3,100,0,0,0,0
24,3,69,0,0,0,0
51,8,0,175,222,0,0
8,0,6,25,9,0,0
68,0,6,21,31,12,0
61,60,2,13,110,0,0
8,0,0,13,9,0,0
11,0,0,11,8,0,0
23,0,31,0,0,0,0
12,4,12,1,4,0,0
29,2,26,30,60,0,0
15,3,0,58,17,0,0
92,2,105,9,8,0,0
159,8,103,44,62,0,0
96,30,32,167,91,0,0
28,1,5,26,22,0,0
12,0,0,11,35,0,0
50,3,9,45,42,6,0
10,0,8,3,11,0,0
30,3,183,0,4,0,0
53,16,10,63,115,0,0
19,0,1,5,31,0,0
107,1,1,17,7,0,0
27,3,6,47,41,0,0
9,0,71,0,0,0,0
165,13,87,53,83,0,0
79,1,20,31,345,0,0
48,0,31,0,1,0,0
15,0,78,4,5,0,0
126,7,93,52,128,0,0
11,8,96,0,5,0,0
41,28,1,68,74,0,0
27,1,2,1,42,0,0
X,X,X,X,X,X,X
185,4,31,53,142,0,0
X,X,X,X,X,X,X
X,X,X,X,X,X,X
227,1,2,15,14,0,0
905,3,252,2,11,0,0
1630,0,5,227,578,0,0
51,0,0,4,0,0,0
4696,120,116,28,152,0,0
267,2,4,31,219,0,0
968,0,0,62,263,0,0
659,4,11,27,127,1,0
34,0,3,0,4,0,0
781,16,283,6,5,0,0
1058,8,34,333,167,0,0
889,14,7,89,189,0,0
983,3,1,16,26,0,0
479,0,3,325,80,0,0
694,0,2,112,122,0,0
822,9,7,79,150,0,0
122,13,15,2,10,0,0
250,0,57,3,9,0,0
602,2,33,37,155,0,0
268,2,137,8,53,0,0
