Influenza-Associated Hospitalizations by Virus Type Number (data downloaded on 3/7/2025)
0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
1,2,0,0,0
7,5,0,0,0
31,13,0,0,0
67,23,0,0,0
91,25,0,0,0
130,29,0,0,0
139,46,0,0,0
182,49,0,0,0
156,29,0,0,0
113,13,0,0,0
51,3,0,0,0
40,7,0,0,0
15,10,0,0,0
6,1,0,0,0
6,2,0,0,0
3,0,0,0,0
1,1,0,0,0
2,1,0,0,0
0,0,0,0,0
3,0,0,0,0
1,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
5,1,0,0,0
1,0,0,0,0
1,0,0,0,0
2,1,0,0,0
5,2,0,0,0
5,5,0,0,0
19,6,0,0,0
22,10,0,0,0
25,9,0,0,0
33,19,0,0,0
36,15,0,0,0
40,18,0,0,0
46,13,0,0,0
32,26,0,0,0
38,16,0,0,0
26,17,0,0,0
23,10,0,0,0
12,10,0,0,0
21,4,0,0,0
13,5,0,0,0
7,2,0,0,0
5,1,0,0,0
1,0,0,0,0
1,4,0,0,0
1,0,1,0,0
2,0,0,0,0
0,0,1,0,0
0,0,0,0,0
3,1,1,1,0
0,0,0,0,1
0,0,1,1,2
4,0,0,0,1
2,0,2,1,3
2,0,1,1,7
6,1,2,2,4
18,2,1,6,12
26,2,6,5,30
20,5,7,8,29
16,6,12,4,20
22,15,10,8,23
24,13,14,12,25
37,6,21,13,49
40,5,26,14,52
37,19,19,12,66
39,7,26,25,64
42,11,23,28,69
39,21,26,27,80
33,19,26,12,68
28,16,18,15,54
25,15,19,5,29
24,5,10,8,16
13,9,5,3,8
12,6,3,3,6
7,0,4,5,6
0,0,0,0,1
0,0,0,1,0
1,0,1,0,1
0,0,0,0,1
1,1,0,2,1
3,3,1,2,3
0,0,0,0,2
0,1,1,0,3
4,0,2,0,6
6,1,3,1,5
10,2,4,1,4
9,9,9,4,12
23,6,8,3,5
8,1,8,8,11
7,3,8,4,13
17,5,8,9,17
22,9,8,7,17
25,8,18,10,15
50,8,18,12,19
39,14,19,13,17
23,15,25,7,27
30,7,12,10,32
22,9,17,9,28
29,6,17,14,24
