COVID-19_Season,Week_ID,Current_Season_Week_Ending_Label,MMWR_Week_Order,MMWR_Year,MMWR_Week,MMWR_Day,Setting,Doses,Cumulative_Doses,Location_and_Flu_Season_Order,Current_Through,Age_Group
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3,2023,37,7,Physician Medical Office,93,93,38,01/25/2025 12:00:00 AM,18+
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3,2023,37,7,Physician Medical Office,59,59,38,01/25/2025 12:00:00 AM,18-49
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3,2023,37,7,Physician Medical Office,85,85,38,01/25/2025 12:00:00 AM,18-64
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3,2023,37,7,Physician Medical Office,26,26,38,01/25/2025 12:00:00 AM,50-64
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3,2023,37,7,Physician Medical Office,7,7,38,01/25/2025 12:00:00 AM,60-74
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3,2023,37,7,Physician Medical Office,8,8,38,01/25/2025 12:00:00 AM,65+
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3,2023,37,7,Physician Medical Office,4,4,38,01/25/2025 12:00:00 AM,75+
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4,2023,38,7,Physician Medical Office,12664,12757,38,01/25/2025 12:00:00 AM,18+
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4,2023,38,7,Physician Medical Office,3819,3878,38,01/25/2025 12:00:00 AM,18-49
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4,2023,38,7,Physician Medical Office,7019,7104,38,01/25/2025 12:00:00 AM,18-64
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4,2023,38,7,Physician Medical Office,3200,3226,38,01/25/2025 12:00:00 AM,50-64
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4,2023,38,7,Physician Medical Office,4096,4103,38,01/25/2025 12:00:00 AM,60-74
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4,2023,38,7,Physician Medical Office,5646,5654,38,01/25/2025 12:00:00 AM,65+
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4,2023,38,7,Physician Medical Office,2975,2979,38,01/25/2025 12:00:00 AM,75+
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5,2023,39,7,Physician Medical Office,42494,55251,38,01/25/2025 12:00:00 AM,18+
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5,2023,39,7,Physician Medical Office,13237,17115,38,01/25/2025 12:00:00 AM,18-49
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5,2023,39,7,Physician Medical Office,25732,32836,38,01/25/2025 12:00:00 AM,18-64
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5,2023,39,7,Physician Medical Office,12495,15721,38,01/25/2025 12:00:00 AM,50-64
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5,2023,39,7,Physician Medical Office,14141,18244,38,01/25/2025 12:00:00 AM,60-74
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5,2023,39,7,Physician Medical Office,16762,22416,38,01/25/2025 12:00:00 AM,65+
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5,2023,39,7,Physician Medical Office,7913,10892,38,01/25/2025 12:00:00 AM,75+
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6,2023,40,7,Physician Medical Office,83629,138880,38,01/25/2025 12:00:00 AM,18+
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6,2023,40,7,Physician Medical Office,23867,40982,38,01/25/2025 12:00:00 AM,18-49
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6,2023,40,7,Physician Medical Office,48473,81309,38,01/25/2025 12:00:00 AM,18-64
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6,2023,40,7,Physician Medical Office,24606,40327,38,01/25/2025 12:00:00 AM,50-64
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6,2023,40,7,Physician Medical Office,29498,47742,38,01/25/2025 12:00:00 AM,60-74
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6,2023,40,7,Physician Medical Office,35155,57571,38,01/25/2025 12:00:00 AM,65+
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6,2023,40,7,Physician Medical Office,16403,27295,38,01/25/2025 12:00:00 AM,75+
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7,2023,41,7,Physician Medical Office,131066,269946,38,01/25/2025 12:00:00 AM,18+
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7,2023,41,7,Physician Medical Office,38043,79025,38,01/25/2025 12:00:00 AM,18-49
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7,2023,41,7,Physician Medical Office,74547,155856,38,01/25/2025 12:00:00 AM,18-64
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7,2023,41,7,Physician Medical Office,36505,76832,38,01/25/2025 12:00:00 AM,50-64
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7,2023,41,7,Physician Medical Office,43934,91676,38,01/25/2025 12:00:00 AM,60-74
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7,2023,41,7,Physician Medical Office,56518,114089,38,01/25/2025 12:00:00 AM,65+
