COVID-19_Season,Week_ID,Current_Season_Week_Ending_Label,MMWR_Week_Order,MMWR_Year,MMWR_Week,MMWR_Day,Setting,Doses,Cumulative_Doses,Location_and_Flu_Season_Order,Current_Through,Age_Group,current_season,Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend,Child or adult,Week Ending,Enrollment Date,As of date,Race and ethnicity,comparison_type,week_ending,current_season_week_ending_label,comparison_group_1,comparison_group_2,comparison_group1_point_estimate,comparison_group2_point_estimate,estimate_difference,difference_estimate_lower_95_ci,difference_estimate_upper_95_ci,significant_at_95_pct,comparison_group_1_sort_order,comparison_group_2_sort_order
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3.0,2023.0,37.0,7.0,Physician Medical Office,93.0,93.0,38.0,01/25/2025 12:00:00 AM,18+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3.0,2023.0,37.0,7.0,Physician Medical Office,59.0,59.0,38.0,01/25/2025 12:00:00 AM,18-49,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3.0,2023.0,37.0,7.0,Physician Medical Office,85.0,85.0,38.0,01/25/2025 12:00:00 AM,18-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3.0,2023.0,37.0,7.0,Physician Medical Office,26.0,26.0,38.0,01/25/2025 12:00:00 AM,50-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3.0,2023.0,37.0,7.0,Physician Medical Office,7.0,7.0,38.0,01/25/2025 12:00:00 AM,60-74,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3.0,2023.0,37.0,7.0,Physician Medical Office,8.0,8.0,38.0,01/25/2025 12:00:00 AM,65+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/16/2023 12:00:00 AM,09/14/2024 12:00:00 AM,3.0,2023.0,37.0,7.0,Physician Medical Office,4.0,4.0,38.0,01/25/2025 12:00:00 AM,75+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4.0,2023.0,38.0,7.0,Physician Medical Office,12664.0,12757.0,38.0,01/25/2025 12:00:00 AM,18+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4.0,2023.0,38.0,7.0,Physician Medical Office,3819.0,3878.0,38.0,01/25/2025 12:00:00 AM,18-49,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4.0,2023.0,38.0,7.0,Physician Medical Office,7019.0,7104.0,38.0,01/25/2025 12:00:00 AM,18-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4.0,2023.0,38.0,7.0,Physician Medical Office,3200.0,3226.0,38.0,01/25/2025 12:00:00 AM,50-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4.0,2023.0,38.0,7.0,Physician Medical Office,4096.0,4103.0,38.0,01/25/2025 12:00:00 AM,60-74,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4.0,2023.0,38.0,7.0,Physician Medical Office,5646.0,5654.0,38.0,01/25/2025 12:00:00 AM,65+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/23/2023 12:00:00 AM,09/21/2024 12:00:00 AM,4.0,2023.0,38.0,7.0,Physician Medical Office,2975.0,2979.0,38.0,01/25/2025 12:00:00 AM,75+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5.0,2023.0,39.0,7.0,Physician Medical Office,42494.0,55251.0,38.0,01/25/2025 12:00:00 AM,18+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5.0,2023.0,39.0,7.0,Physician Medical Office,13237.0,17115.0,38.0,01/25/2025 12:00:00 AM,18-49,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5.0,2023.0,39.0,7.0,Physician Medical Office,25732.0,32836.0,38.0,01/25/2025 12:00:00 AM,18-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5.0,2023.0,39.0,7.0,Physician Medical Office,12495.0,15721.0,38.0,01/25/2025 12:00:00 AM,50-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5.0,2023.0,39.0,7.0,Physician Medical Office,14141.0,18244.0,38.0,01/25/2025 12:00:00 AM,60-74,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5.0,2023.0,39.0,7.0,Physician Medical Office,16762.0,22416.0,38.0,01/25/2025 12:00:00 AM,65+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,09/30/2023 12:00:00 AM,09/28/2024 12:00:00 AM,5.0,2023.0,39.0,7.0,Physician Medical Office,7913.0,10892.0,38.0,01/25/2025 12:00:00 AM,75+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6.0,2023.0,40.0,7.0,Physician Medical Office,83629.0,138880.0,38.0,01/25/2025 12:00:00 AM,18+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6.0,2023.0,40.0,7.0,Physician Medical Office,23867.0,40982.0,38.0,01/25/2025 12:00:00 AM,18-49,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6.0,2023.0,40.0,7.0,Physician Medical Office,48473.0,81309.0,38.0,01/25/2025 12:00:00 AM,18-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6.0,2023.0,40.0,7.0,Physician Medical Office,24606.0,40327.0,38.0,01/25/2025 12:00:00 AM,50-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6.0,2023.0,40.0,7.0,Physician Medical Office,29498.0,47742.0,38.0,01/25/2025 12:00:00 AM,60-74,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6.0,2023.0,40.0,7.0,Physician Medical Office,35155.0,57571.0,38.0,01/25/2025 12:00:00 AM,65+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/07/2023 12:00:00 AM,10/05/2024 12:00:00 AM,6.0,2023.0,40.0,7.0,Physician Medical Office,16403.0,27295.0,38.0,01/25/2025 12:00:00 AM,75+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7.0,2023.0,41.0,7.0,Physician Medical Office,131066.0,269946.0,38.0,01/25/2025 12:00:00 AM,18+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7.0,2023.0,41.0,7.0,Physician Medical Office,38043.0,79025.0,38.0,01/25/2025 12:00:00 AM,18-49,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7.0,2023.0,41.0,7.0,Physician Medical Office,74547.0,155856.0,38.0,01/25/2025 12:00:00 AM,18-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7.0,2023.0,41.0,7.0,Physician Medical Office,36505.0,76832.0,38.0,01/25/2025 12:00:00 AM,50-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7.0,2023.0,41.0,7.0,Physician Medical Office,43934.0,91676.0,38.0,01/25/2025 12:00:00 AM,60-74,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7.0,2023.0,41.0,7.0,Physician Medical Office,56518.0,114089.0,38.0,01/25/2025 12:00:00 AM,65+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7.0,2023.0,41.0,7.0,Physician Medical Office,28611.0,55906.0,38.0,01/25/2025 12:00:00 AM,75+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8.0,2023.0,42.0,7.0,Physician Medical Office,189624.0,459570.0,38.0,01/25/2025 12:00:00 AM,18+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8.0,2023.0,42.0,7.0,Physician Medical Office,52597.0,131622.0,38.0,01/25/2025 12:00:00 AM,18-49,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8.0,2023.0,42.0,7.0,Physician Medical Office,101573.0,257429.0,38.0,01/25/2025 12:00:00 AM,18-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8.0,2023.0,42.0,7.0,Physician Medical Office,48976.0,125808.0,38.0,01/25/2025 12:00:00 AM,50-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8.0,2023.0,42.0,7.0,Physician Medical Office,60183.0,151859.0,38.0,01/25/2025 12:00:00 AM,60-74,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8.0,2023.0,42.0,7.0,Physician Medical Office,88051.0,202140.0,38.0,01/25/2025 12:00:00 AM,65+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8.0,2023.0,42.0,7.0,Physician Medical Office,49081.0,104987.0,38.0,01/25/2025 12:00:00 AM,75+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9.0,2023.0,43.0,7.0,Physician Medical Office,208519.0,668089.0,38.0,01/25/2025 12:00:00 AM,18+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9.0,2023.0,43.0,7.0,Physician Medical Office,57884.0,189506.0,38.0,01/25/2025 12:00:00 AM,18-49,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9.0,2023.0,43.0,7.0,Physician Medical Office,111865.0,369294.0,38.0,01/25/2025 12:00:00 AM,18-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9.0,2023.0,43.0,7.0,Physician Medical Office,53981.0,179789.0,38.0,01/25/2025 12:00:00 AM,50-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9.0,2023.0,43.0,7.0,Physician Medical Office,65821.0,217680.0,38.0,01/25/2025 12:00:00 AM,60-74,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9.0,2023.0,43.0,7.0,Physician Medical Office,96653.0,298793.0,38.0,01/25/2025 12:00:00 AM,65+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9.0,2023.0,43.0,7.0,Physician Medical Office,53797.0,158784.0,38.0,01/25/2025 12:00:00 AM,75+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10.0,2023.0,44.0,7.0,Physician Medical Office,191775.0,859864.0,38.0,01/25/2025 12:00:00 AM,18+,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10.0,2023.0,44.0,7.0,Physician Medical Office,55905.0,245411.0,38.0,01/25/2025 12:00:00 AM,18-49,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10.0,2023.0,44.0,7.0,Physician Medical Office,109217.0,478511.0,38.0,01/25/2025 12:00:00 AM,18-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10.0,2023.0,44.0,7.0,Physician Medical Office,53312.0,233101.0,38.0,01/25/2025 12:00:00 AM,50-64,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10.0,2023.0,44.0,7.0,Physician Medical Office,63934.0,281614.0,38.0,01/25/2025 12:00:00 AM,60-74,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10.0,2023.0,44.0,7.0,Physician Medical Office,82557.0,381350.0,38.0,01/25/2025 12:00:00 AM,65+,,,,,,,,,,,,,,,,,,,,,,,,,,
