Maryland,EIP,2009-10,2009,40,Overall,Overall.1,Overall.2,Influenza A,8.4,4.0,Unnamed: 11,Unnamed: 12
California,EIP,2009-10,2009,40,Overall,Female,Overall,Overall,3.1,1.5,,
California,EIP,2009-10,2009,40,Overall,Male,Overall,Overall,3.2,1.2,,
California,EIP,2009-10,2009,40,Overall,Overall,White,Overall,2.5,1.1,,
California,EIP,2009-10,2009,40,Overall,Overall,Black,Overall,5.7,2.9,,
California,EIP,2009-10,2009,40,Overall,Overall,Hispanic/Latino,Overall,3.8,1.6,,
California,EIP,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,Overall,1.5,0.7,,
California,EIP,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,Overall,7.9,0.0,,
California,EIP,2009-10,2009,40,Overall,Overall,Overall,Overall,3.1,1.3,,
California,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza B,0.0,0.0,,
California,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza A,3.1,1.3,,
Entire Network,IHSP,2009-10,2009,40,Overall,Male,Overall,Overall,7.7,3.5,,
Entire Network,IHSP,2009-10,2009,40,Overall,Female,Overall,Overall,9.6,4.1,,
Entire Network,EIP,2009-10,2009,40,Overall,Overall,White,Overall,4.1,1.6,,
Entire Network,EIP,2009-10,2009,40,Overall,Overall,Black,Overall,10.9,3.2,,
Entire Network,EIP,2009-10,2009,40,Overall,Overall,Hispanic/Latino,Overall,12.5,4.6,,
Entire Network,EIP,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,Overall,3.5,1.3,,
Entire Network,EIP,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,Overall,9.4,5.5,,
Entire Network,EIP,2009-10,2009,40,Overall,Overall,Overall,Overall,7.2,2.7,,
Entire Network,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza A,7.1,2.6,,
Entire Network,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza B,0.0,0.0,,
Entire Network,IHSP,2009-10,2009,40,Overall,Overall,White,Overall,5.1,2.3,,
Entire Network,IHSP,2009-10,2009,40,Overall,Overall,Black,Overall,23.9,10.3,,
Entire Network,IHSP,2009-10,2009,40,Overall,Overall,Hispanic/Latino,Overall,17.0,6.9,,
Entire Network,IHSP,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,Overall,3.9,1.3,,
Entire Network,IHSP,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,Overall,11.9,2.4,,
Entire Network,IHSP,2009-10,2009,40,Overall,Overall,Overall,Influenza B,0.0,0.0,,
Entire Network,IHSP,2009-10,2009,40,Overall,Overall,Overall,Overall,8.7,3.8,,
Entire Network,IHSP,2009-10,2009,40,Overall,Overall,Overall,Influenza A,8.1,3.6,,
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Female,Overall,Overall,8.3,3.0,,
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Male,Overall,Overall,6.4,2.6,,
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,White,Overall,4.3,1.7,2.58,0.97
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Black,Overall,11.6,3.6,7.68,2.18
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Hispanic/Latino,Overall,12.8,4.8,7.5,2.73
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,Overall,3.5,1.3,2.23,0.62
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,Overall,10.4,4.3,5.52,0.4
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Overall,Influenza A,7.2,2.8,4.08,1.4
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Overall,Overall,7.4,2.8,4.08,1.4
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Overall,Influenza B,0.0,0.0,4.08,1.4
Entire Network,EIP,2009-10,2009,40,Overall,Male,Overall,Overall,6.3,2.4,,
Entire Network,EIP,2009-10,2009,40,Overall,Female,Overall,Overall,8.2,2.9,,
Georgia,EIP,2009-10,2009,40,Overall,Female,Overall,Overall,9.3,1.0,,
Georgia,EIP,2009-10,2009,40,Overall,Male,Overall,Overall,4.7,0.4,,
Georgia,EIP,2009-10,2009,40,Overall,Overall,White,Overall,4.1,0.4,,
Georgia,EIP,2009-10,2009,40,Overall,Overall,Black,Overall,9.9,1.0,,
Georgia,EIP,2009-10,2009,40,Overall,Overall,Hispanic/Latino,Overall,9.3,0.9,,
Georgia,EIP,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,Overall,3.1,0.4,,
Georgia,EIP,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,Overall,0.0,0.0,,
Georgia,EIP,2009-10,2009,40,Overall,Overall,Overall,Overall,7.1,0.7,,
Georgia,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza B,0.0,0.0,,
Georgia,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza A,7.0,0.7,,
Iowa,IHSP,2009-10,2009,40,Overall,Female,Overall,Overall,2.7,1.5,,
Iowa,IHSP,2009-10,2009,40,Overall,Male,Overall,Overall,1.4,0.9,,
Iowa,IHSP,2009-10,2009,40,Overall,Overall,White,Overall,1.2,0.7,,
Iowa,IHSP,2009-10,2009,40,Overall,Overall,Black,Overall,3.6,3.6,,
Iowa,IHSP,2009-10,2009,40,Overall,Overall,Hispanic/Latino,Overall,2.9,0.0,,
Iowa,IHSP,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,Overall,0.0,0.0,,
Iowa,IHSP,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,Overall,0.0,0.0,,
Iowa,IHSP,2009-10,2009,40,Overall,Overall,Overall,Overall,2.0,1.2,,
Iowa,IHSP,2009-10,2009,40,Overall,Overall,Overall,Influenza A,2.0,1.2,,
Iowa,IHSP,2009-10,2009,40,Overall,Overall,Overall,Influenza B,0.0,0.0,,
New York - Rochester,EIP,2009-10,2009,40,Overall,Female,Overall,Overall,0.3,0.2,,
New York - Rochester,EIP,2009-10,2009,40,Overall,Male,Overall,Overall,0.5,0.5,,
New York - Rochester,EIP,2009-10,2009,40,Overall,Overall,White,Overall,0.2,0.2,,
New York - Rochester,EIP,2009-10,2009,40,Overall,Overall,Black,Overall,0.8,0.8,,
New York - Rochester,EIP,2009-10,2009,40,Overall,Overall,Hispanic/Latino,Overall,0.0,0.0,,
New York - Rochester,EIP,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,Overall,3.5,3.5,,
New York - Rochester,EIP,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,Overall,0.0,0.0,,
New York - Rochester,EIP,2009-10,2009,40,Overall,Overall,Overall,Overall,0.4,0.4,,
New York - Rochester,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza B,0.0,0.0,,
New York - Rochester,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza A,0.4,0.4,,
New York - Albany,EIP,2009-10,2009,40,Overall,Female,Overall,Overall,0.4,0.2,,
New York - Albany,EIP,2009-10,2009,40,Overall,Male,Overall,Overall,0.4,0.2,,
New York - Albany,EIP,2009-10,2009,40,Overall,Overall,White,Overall,0.3,0.2,,
New York - Albany,EIP,2009-10,2009,40,Overall,Overall,Black,Overall,1.3,0.0,,
New York - Albany,EIP,2009-10,2009,40,Overall,Overall,Hispanic/Latino,Overall,0.0,0.0,,
New York - Albany,EIP,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,Overall,0.0,0.0,,
New York - Albany,EIP,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,Overall,0.0,0.0,,
New York - Albany,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza A,0.4,0.2,,
New York - Albany,EIP,2009-10,2009,40,Overall,Overall,Overall,Overall,0.4,0.2,,
New York - Albany,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza B,0.0,0.0,,
Oregon,EIP,2009-10,2009,40,Overall,Female,Overall,Overall,4.6,3.0,,
Oregon,EIP,2009-10,2009,40,Overall,Male,Overall,Overall,4.5,3.0,,
Oregon,EIP,2009-10,2009,40,Overall,Overall,White,Overall,2.3,1.5,,
Oregon,EIP,2009-10,2009,40,Overall,Overall,Black,Overall,4.9,3.3,,
Oregon,EIP,2009-10,2009,40,Overall,Overall,Hispanic/Latino,Overall,12.9,7.0,,
Oregon,EIP,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,Overall,3.3,2.4,,
Oregon,EIP,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,Overall,15.0,15.0,,
Oregon,EIP,2009-10,2009,40,Overall,Overall,Overall,Overall,4.5,3.0,,
Oregon,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza B,0.0,0.0,,
Oregon,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza A,4.5,3.0,,
Colorado,EIP,2009-10,2009,40,Overall,Female,Overall,Overall,27.0,9.6,,
Colorado,EIP,2009-10,2009,40,Overall,Male,Overall,Overall,21.0,7.2,,
Colorado,EIP,2009-10,2009,40,Overall,Overall,White,Overall,11.1,4.7,,
Colorado,EIP,2009-10,2009,40,Overall,Overall,Black,Overall,36.9,10.9,,
Colorado,EIP,2009-10,2009,40,Overall,Overall,Hispanic/Latino,Overall,33.6,9.7,,
Colorado,EIP,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,Overall,18.5,4.1,,
Colorado,EIP,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,Overall,20.5,6.8,,
Colorado,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza B,0.0,0.0,,
Colorado,EIP,2009-10,2009,40,Overall,Overall,Overall,Influenza A,23.9,8.4,,
Colorado,EIP,2009-10,2009,40,Overall,Overall,Overall,Overall,24.0,8.4,,
Michigan,EIP,2009-10,2009,40,Overall,Female,Overall,Overall,1.3,1.3,,
Michigan,EIP,2009-10,2009,40,Overall,Male,Overall,Overall,1.8,1.3,,
Michigan,EIP,2009-10,2009,40,Overall,Overall,White,Overall,1.4,1.1,,
Michigan,EIP,2009-10,2009,40,Overall,Overall,Black,Overall,0.0,0.0,,
Michigan,EIP,2009-10,2009,40,Overall,Overall,Hispanic/Latino,Overall,0.0,0.0,,
Michigan,EIP,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,Overall,0.0,0.0,,
Michigan,EIP,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,Overall,0.0,0.0,,
